now_us,bytes_acked,mss,rtt_us,tp_delivered_rate,tp_rate_interval_us,tp_delivered,lost,retrans,app_limited
100681186,38622624,1308,22428226,14137,36458058,29529,0,0,0
100705848,38623932,1308,22450519,14138,36458058,29530,0,0,0
100721115,38625240,1308,22465786,14139,36460427,29531,0,0,0
100723411,38626548,1308,22465712,14140,36460427,29532,0,0,0
100745883,38627856,1308,22486999,14141,36462797,29533,0,0,0
100761112,38629164,1308,22502228,14142,36463982,29534,0,0,0
100781098,38630472,1308,22519844,14143,36463982,29535,0,0,0
100781834,38631780,1308,22520580,14144,36466352,29536,0,0,0
100785935,38633088,1308,22522312,14145,36466352,29537,0,0,0
100801226,38634396,1308,22537603,14146,36468721,29538,0,0,0
100820772,38635704,1308,22554779,14147,36468721,29539,0,0,0
100845669,38637012,1308,22579676,14148,36471091,29540,0,0,0
100860446,38638320,1308,22592083,14149,36471091,29541,0,0,0
100863540,38639628,1308,22595177,14150,36473461,29542,0,0,0
100895970,38640936,1308,22625238,14151,36473461,29543,0,0,0
100903509,38642244,1308,22632777,14152,36475830,29544,0,0,0
100915780,38643552,1308,22642678,14153,36475830,29545,0,0,0
100925921,38644860,1308,22652819,14154,36478200,29546,0,0,0
100941118,38646168,1308,22665646,14155,36478200,29547,0,0,0
100943111,38647476,1308,22667639,14156,36480570,29548,0,0,0
100966325,38648784,1308,22688483,14157,36480570,29549,0,0,0
100986726,38650092,1308,22708884,14158,36482940,29550,0,0,0
101003627,38652708,1308,22723416,14159,36482940,29552,0,0,0
101003740,38654016,1308,22721163,14149,36440400,29553,0,0,0
101003777,38655324,1308,22721200,14150,36442766,29554,0,0,0
101023911,38656632,1308,22738968,14151,36442766,29555,0,0,0
101046186,38657940,1308,22761243,14152,36445132,29556,0,0,0
101063640,38659248,1308,22776331,14153,36445132,29557,0,0,0
101081490,38660556,1308,22793000,14148,36413075,29558,0,0,0
101103786,38661864,1308,22815296,14149,36414256,29559,0,0,0
101135488,38663172,1308,22844634,14150,36414256,29560,0,0,0
101135683,38664480,1308,22844829,14151,36416620,29561,0,0,0
101146137,38665788,1308,22852920,14152,36416620,29562,0,0,0
101166515,38667096,1308,22873298,14153,36418983,29563,0,0,0
101166602,38669712,1308,22871021,14154,36418983,29565,0,0,0
101183621,38671020,1308,22885676,14156,36421347,29566,0,0,0
101203804,38672328,1308,22905859,14157,36423711,29567,0,0,0
101223411,38673636,1308,22923103,14158,36423711,29568,0,0,0
101260942,38674944,1308,22960634,14159,36426074,29569,0,0,0
101261049,38676252,1308,22958377,14160,36426074,29570,0,0,0
101261118,38677560,1308,22958446,14161,36428438,29571,0,0,0
101262991,38678868,1308,22957956,14162,36428438,29572,0,0,0
101286180,38680176,1308,22981145,14163,36430801,29573,0,0,0
101305368,38681484,1308,22997969,14164,36430801,29574,0,0,0
101325554,38682792,1308,23018155,14165,36433165,29575,0,0,0
101346951,38684100,1308,23037189,14166,36433165,29576,0,0,0
101366556,38685408,1308,23056794,14167,36435528,29577,0,0,0
101386052,38686716,1308,23073926,14168,36435528,29578,0,0,0
101386155,38688024,1308,23074029,14169,36437892,29579,0,0,0
101405920,38689332,1308,23091431,14170,36437892,29580,0,0,0
101425539,38690640,1308,23111050,14171,36440255,29581,0,0,0
101455152,38691948,1308,23138299,14172,36440255,29582,0,0,0
101465550,38693256,1308,23147516,14173,36442619,29583,0,0,0
101481097,38694564,1308,23163063,14174,36443800,29584,0,0,0
101500615,38695872,1308,23180217,14175,36443800,29585,0,0,0
101501019,38697180,1308,23180621,14176,36446164,29586,0,0,0
101505782,38698488,1308,23183021,14177,36446164,29587,0,0,0
101520779,38699796,1308,23198018,14178,36448527,29588,0,0,0
101545975,38701104,1308,23220850,14179,36448527,29589,0,0,0
101560379,38702412,1308,23235254,14176,36445532,29590,0,0,0
101560486,38703720,1308,23232998,14177,36445532,29591,0,0,0
101560532,38705028,1308,23233044,14163,36368228,29592,0,0,0
101560561,38706336,1308,23230716,14164,36368228,29593,0,0,0
101583771,38707644,1308,23253926,14165,36370585,29594,0,0,0
101584260,38708952,1308,23252057,14166,36370585,29595,0,0,0
101625467,38710260,1308,23293264,14167,36372943,29596,0,0,0
101625930,38711568,1308,23291370,14168,36372943,29597,0,0,0
101646939,38712876,1308,23312379,14169,36375300,29598,0,0,0
101662930,38714184,1308,23326013,14170,36375300,29599,0,0,0
101680716,38715492,1308,23343799,14171,36377657,29600,0,0,0
101686942,38716800,1308,23347667,14172,36377657,29601,0,0,0
101701901,38718108,1308,23362626,14173,36380015,29602,0,0,0
101716484,38719416,1308,23374852,14174,36380015,29603,0,0,0
101723542,38720724,1308,23381910,14175,36382372,29604,0,0,0
101741788,38722032,1308,23397799,14176,36382372,29605,0,0,0
101781186,38723340,1308,23437197,14177,36384729,29606,0,0,0
101785895,38724648,1308,23439548,14178,36384729,29607,0,0,0
101801947,38725956,1308,23454422,14179,36387087,29608,0,0,0
101820664,38727264,1308,23473139,14180,36388265,29609,0,0,0
101823508,38728572,1308,23473625,14181,36388265,29610,0,0,0
101842054,38729880,1308,23492171,14182,36390623,29611,0,0,0
101861081,38731188,1308,23508841,14183,36390623,29612,0,0,0
101881330,38732496,1308,23529090,14184,36392980,29613,0,0,0
101885921,38733804,1308,23531324,14185,36392980,29614,0,0,0
101903539,38735112,1308,23548942,14186,36395337,29615,0,0,0
101920536,38736420,1308,23563581,14187,36395337,29616,0,0,0
101960901,38737728,1308,23603946,14188,36397695,29617,0,0,0
101965815,38739036,1308,23606503,14189,36397695,29618,0,0,0
101985562,38740344,1308,23626250,14186,36364620,29619,0,0,0
102006685,38741652,1308,23645016,14187,36364620,29620,0,0,0
102045755,38742960,1308,23684086,14188,36366977,29621,0,0,0
102045862,38744268,1308,23681837,14189,36366977,29622,0,0,0
102066057,38745576,1308,23702032,14181,36323560,29623,0,0,0
102101420,38746884,1308,23735042,14182,36323560,29624,0,0,0
102101530,38748192,1308,23735152,14177,36290108,29625,0,0,0
102101576,38749500,1308,23732848,14178,36290108,29626,0,0,0
102103514,38750808,1308,23734786,14179,36292458,29627,0,0,0
102140560,38752116,1308,23769482,14180,36292458,29628,0,0,0
102141077,38753424,1308,23769999,14181,36294808,29629,0,0,0
102180825,38754732,1308,23807397,14182,36294808,29630,0,0,0
102180929,38756040,1308,23807501,14183,36297158,29631,0,0,0
102185905,38757348,1308,23810127,14184,36297158,29632,0,0,0
102222197,38758656,1308,23845244,14185,36299508,29633,0,0,0
102226001,38759964,1308,23849048,14186,36300683,29634,0,0,0
102261106,38761272,1308,23881803,14187,36300683,29635,0,0,0
102264566,38762580,1308,23885263,14188,36303033,29636,0,0,0
102300459,38763888,1308,23918806,14189,36303033,29637,0,0,0
102300558,38765196,1308,23918905,14190,36305383,29638,0,0,0
102340986,38766504,1308,23956983,14191,36305383,29639,0,0,0
102342915,38767812,1308,23958912,14192,36307733,29640,0,0,0
102380256,38769120,1308,23993903,14193,36307733,29641,0,0,0
102380360,38770428,1308,23994007,14194,36310083,29642,0,0,0
102385530,38771736,1308,23996827,14195,36310083,29643,0,0,0
102421341,38773044,1308,24032638,14196,36312433,29644,0,0,0
102460100,38774352,1308,24069047,14197,36312433,29645,0,0,0
102461172,38775660,1308,24070119,14198,36314783,29646,0,0,0
102465848,38776968,1308,24072445,14199,36314783,29647,0,0,0
102500584,38778276,1308,24107181,14200,36317133,29648,0,0,0
102500703,38779584,1308,24104950,14201,36317133,29649,0,0,0
102505182,38780892,1308,24109429,14202,36319483,29650,0,0,0
102540689,38782200,1308,24142586,14203,36319483,29651,0,0,0
102540792,38783508,1308,24142689,14204,36321833,29652,0,0,0
102542467,38784816,1308,24142013,14205,36321833,29653,0,0,0
102581407,38786124,1308,24180953,14198,36284232,29654,0,0,0
102581513,38787432,1308,24178712,14199,36284232,29655,0,0,0
