now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_cwnd,snd_una
2019398,9297632,1376,304796,3060,291976,6758,0,0,0,2806875488,68583930,6757.0,
2019441,9303136,1376,304839,3070,311219,6762,0,0,0,2806915392,67635684,6767.0,
2019449,9310016,1376,304847,3074,311262,6767,0,0,0,2806915392,66781292,6771.0,
2019462,9349920,1376,303934,3079,311270,6796,0,0,0,2806940160,66066417,6776.0,
2028063,9381568,1376,312535,3108,311283,6819,0,0,0,2807004832,65691508,6805.0,
2028175,9421472,1376,311721,3131,319884,6848,0,0,0,2807068128,65129491,6828.0,
2028230,9428352,1376,311776,3160,319996,6853,0,0,0,2807068128,64729258,6857.0,
2028239,9442112,1376,311785,3165,320051,6863,0,0,0,2807068128,64218948,6862.0,
2028248,9468256,1376,310868,3175,320060,6882,0,0,0,2807068128,63831589,6872.0,
2028256,9475136,1376,310876,3194,320069,6887,0,0,0,2807068128,63591704,6891.0,
2030131,9486144,1376,312751,3199,320077,6895,0,0,0,2807194720,63301903,6896.0,
2034866,9508160,1376,317486,3207,321952,6911,0,0,0,2807263520,63034905,6904.0,
2034918,9513664,1376,317538,3223,326687,6915,0,0,0,2807324064,62762742,6920.0,
2035115,9524672,1376,316809,3227,326739,6923,0,0,0,2807324064,62436016,6924.0,
2036279,9530176,1376,317973,3235,326936,6927,0,0,0,2807328192,62188618,6932.0,
2036323,9542560,1376,318017,3239,328100,6936,0,0,0,2807328192,61941433,6936.0,
2037059,9576960,1376,318753,3248,328144,6961,0,0,0,2807387360,61774810,6945.0,
2048246,9579712,1376,329940,3273,328880,6963,0,0,0,2807457536,61763591,6970.0,
2048318,9582464,1376,329086,3275,340067,6965,0,0,0,2807479552,61303176,6972.0,
2048337,9590720,1376,329105,3277,340139,6971,0,0,0,2807479552,60928938,6974.0,
2048352,9601728,1376,329120,3283,340158,6979,0,0,0,2807479552,60641856,6980.0,
2048407,9654016,1376,328249,3291,340173,7017,0,0,0,2807522208,60416677,6988.0,
2048431,9671904,1376,328273,3235,329441,7030,0,0,0,2807580000,60487016,7026.0,
2048447,9677408,1376,328289,3248,329465,7034,0,0,0,2807580000,60395617,7039.0,
2048461,9720064,1376,327370,3252,329481,7065,0,0,0,2807580000,60252673,7043.0,
2048491,9726944,1376,327400,3283,329495,7070,0,0,0,2807580000,60362624,7074.0,
2070291,9729696,1376,349200,3288,329525,7072,0,0,0,2807774016,60291044,7079.0,
2070377,9735200,1376,349286,3290,351325,7076,0,0,0,2807779520,59705750,7081.0,
2070413,9746208,1376,349322,3294,351411,7084,0,0,0,2807780896,59220004,7085.0,
2088555,9802624,1376,366531,3302,351447,7125,0,0,0,2807780896,58838385,7093.0,
