now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_cwnd,snd_una
0,1376,1376,42078,0,0,2,0,0,0,2126101374,683522,10.0,
9928,2752,1376,52006,1,42078,3,0,0,1,2126104126,747659,11.0,
9984,4128,1376,52058,2,52006,4,0,0,1,2126106878,787624,12.0,
10003,5504,1376,52077,3,52062,5,0,0,1,2126109630,828246,13.0,
10016,6880,1376,51973,4,52081,6,0,0,1,2126109630,869603,14.0,
10027,8256,1376,51984,5,52094,7,0,0,1,2126109630,911988,15.0,
10038,9632,1376,51995,6,52105,8,0,0,1,2126109630,955060,16.0,
10048,11008,1376,52005,7,52116,9,0,0,1,2126109630,998796,17.0,
10059,12384,1376,51940,8,52126,10,0,0,1,2126109630,1043170,18.0,
10076,13760,1376,51957,9,52137,11,0,0,1,2126109630,1088364,19.0,
38570,15136,1376,38547,10,52154,12,0,0,1,2126128894,1134094,20.0,
52901,16512,1376,52878,10,42101,13,0,0,0,2126131646,1222231,21.0,
52988,17888,1376,43028,11,52901,14,0,0,0,2126134398,1261773,22.0,
57462,19264,1376,47502,11,52038,15,0,0,0,2126137150,1336377,23.0,
57531,20640,1376,45824,12,52038,16,0,0,0,2126139902,1393969,24.0,
60586,22016,1376,48879,12,53781,17,0,0,0,2126142654,1458040,25.0,
61216,23392,1376,46186,13,53781,18,0,0,0,2126145406,1509591,26.0,
65557,24768,1376,50527,7,56911,19,0,0,0,2126148158,1572679,27.0,
73331,26144,1376,55875,8,56911,20,0,0,0,2126150910,1616891,28.0,
73418,27520,1376,55962,9,63255,21,0,0,0,2126153662,1639298,29.0,
73451,28896,1376,53568,10,63342,22,0,0,0,2126156414,1664717,30.0,
74089,30272,1376,54206,11,63375,23,0,0,0,2126159166,1703148,31.0,
78681,31648,1376,56371,12,64013,24,0,0,0,2126160542,1740214,32.0,
90638,33024,1376,68328,13,68605,25,0,0,0,2126163294,1769395,33.0,
90730,34400,1376,65994,14,80562,26,0,0,0,2126166046,1750529,34.0,
96347,35776,1376,71611,15,80654,27,0,0,0,2126168798,1750663,35.0,
101371,37152,1376,74208,16,86271,28,0,0,0,2126171550,1735270,36.0,
101443,38528,1376,74280,17,91295,29,0,0,0,2126174302,1719056,37.0,
101472,39904,1376,71883,18,91367,30,0,0,0,2126177054,1711176,38.0,
101488,41280,1376,71899,19,91396,31,0,0,0,2126177054,1718354,39.0,
101503,42656,1376,62906,20,91412,32,0,0,0,2126177054,1729736,40.0,
105696,44032,1376,67099,20,62933,33,0,0,0,2126185310,1775536,41.0,
106211,45408,1376,53277,21,67126,34,0,0,0,2126188062,1806225,42.0,
106252,46784,1376,53318,21,53310,35,0,0,0,2126188062,1888763,43.0,
