now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
0,1308,1308,674608,0,0,2,0,0,1,4210099361,38587
39675,2616,1308,714283,1,674608,3,0,0,1,4210101977,42472
40009,3924,1308,714597,2,714283,4,0,0,1,4210104593,46021
40086,5232,1308,714674,3,714617,5,0,0,1,4210107209,49561
40129,6540,1308,714666,4,714694,6,0,0,1,4210109825,53098
79861,7848,1308,754398,5,714737,7,0,0,1,4210109825,56635
79929,9156,1308,754410,6,754469,8,0,0,1,4210109825,59747
79964,10464,1308,754445,7,754537,9,0,0,1,4210109825,62877
79993,13080,1308,754474,8,754572,11,0,0,1,4210109825,66025
676211,14388,1308,676134,10,754601,12,0,0,1,4210125521,72834
716395,15696,1308,716318,10,676211,13,0,0,0,4210128137,77042
716512,17004,1308,676777,11,716395,14,0,0,0,4210130753,80664
759892,18312,1308,720157,11,714343,15,0,0,0,4210133369,84877
759986,19620,1308,672268,12,720217,16,0,0,0,4210135985,88391
798355,20928,1308,710637,12,762306,17,0,0,0,4210138601,92694
840208,22236,1308,699707,13,762306,18,0,0,0,4210141217,96315
840300,23544,1308,699799,13,815089,19,0,0,0,4210143833,100134
880411,24852,1308,690643,14,815089,20,0,0,0,4210146449,103946
880510,26160,1308,690742,9,864249,21,0,0,0,4210149065,107927
919608,27468,1308,693922,10,864249,22,0,0,0,4210151681,111891
919699,28776,1308,694013,11,900167,23,0,0,0,4210154297,115774
959631,30084,1308,698028,12,900167,24,0,0,0,4210156913,119647
959737,31392,1308,698134,13,936084,25,0,0,0,4210159529,123422
999932,32700,1308,702412,14,936084,26,0,0,0,4210162145,127192
1000036,34008,1308,702516,15,972001,27,0,0,0,4210164761,130860
1040363,35316,1308,706925,16,972001,28,0,0,0,4210167377,134530
1040453,36624,1308,707015,17,1007919,29,0,0,0,4210169993,138097
1080632,39240,1308,711277,18,1007919,31,0,0,0,4210172609,141675
1360362,40548,1308,684101,20,1043836,32,0,0,0,4210177841,148876
1360388,41856,1308,684127,20,684151,33,0,0,0,4210180457,153109
1399694,43164,1308,683219,21,684177,34,0,0,0,4210183073,157304
1400317,44472,1308,683842,21,716398,35,0,0,0,4210185689,161490
1435495,47088,1308,702805,22,716398,37,0,0,0,4210188305,165623
1435625,48396,1308,672114,23,718983,38,0,0,0,4210193537,172908
1476954,49704,1308,713443,23,723776,39,0,0,0,4210196153,177427
1477054,51012,1308,683947,24,723776,40,0,0,0,4210198769,180535
1520192,52320,1308,727085,24,717068,41,0,0,0,4210201385,184681
1520291,53628,1308,698962,25,760206,42,0,0,0,4210204001,187336
1520336,54936,1308,699007,25,733611,43,0,0,0,4210206617,191057
1558325,56244,1308,709835,26,733611,44,0,0,0,4210209233,194779
1558678,57552,1308,710188,26,718117,45,0,0,0,4210211849,198119
1600334,58860,1308,725719,27,718470,46,0,0,0,4210214465,201484
1600431,60168,1308,725816,27,760034,47,0,0,0,4210217081,204319
1639888,61476,1308,740107,28,760131,48,0,0,0,4210219697,207238
1640185,62784,1308,740404,28,759477,49,0,0,0,4210222313,209707
1680213,64092,1308,756193,29,759774,50,0,0,0,4210224929,212291
1680332,65400,1308,756312,29,799703,51,0,0,0,4210227545,214396
1720270,66708,1308,772870,30,799822,52,0,0,0,4210230161,216660
1720372,68016,1308,772972,30,800662,53,0,0,0,4210232777,218446
1759252,69324,1308,789256,31,800764,54,0,0,0,4210235393,220425
1759349,70632,1308,789353,31,839553,55,0,0,0,4210238009,221965
1799676,71940,1308,807816,32,839650,56,0,0,0,4210240625,223723
1799774,73248,1308,807914,32,840045,57,0,0,0,4210243241,224984
1836133,74556,1308,823077,33,840143,58,0,0,0,4210245857,226493
1836237,75864,1308,823181,33,876396,59,0,0,0,4210248473,227656
1836285,77172,1308,802662,34,876500,60,0,0,0,4210251089,229072
1880510,78480,1308,846887,34,836353,61,0,0,0,4210253705,231468
1880610,79788,1308,826996,35,880578,62,0,0,0,4210256321,232325
1920388,81096,1308,866774,35,880574,63,0,0,0,4210258937,234203
1920506,82404,1308,847447,36,920352,64,0,0,0,4210261553,234774
1959404,83712,1308,886345,36,880143,65,0,0,0,4210264169,236371
1959502,85020,1308,867500,37,919041,66,0,0,0,4210266785,236736
1999773,86328,1308,907771,37,919049,67,0,0,0,4210269401,238123
1999872,87636,1308,889405,38,959320,68,0,0,0,4210272017,238268
2039465,88944,1308,928998,37,919240,69,0,0,0,4210274633,239431
2039564,90252,1308,911525,38,958833,70,0,0,0,4210277249,239420
2079018,91560,1308,950979,39,958932,71,0,0,0,4210279865,240400
2079366,92868,1308,718989,40,998386,72,0,0,0,4210282481,240253
2120215,94176,1308,759838,40,719004,73,0,0,0,4210285097,248684
2120314,95484,1308,751394,41,759853,74,0,0,0,4210287713,255207
2159277,96792,1308,790357,41,759926,75,0,0,0,4210290329,261790
2159408,98100,1308,759691,42,798889,76,0,0,0,4210292945,266512
2159454,99408,1308,759737,42,759714,77,0,0,0,4210295561,272361
2199680,102024,1308,791863,43,759760,79,0,0,0,4210298177,277978
2240475,103332,1308,804898,44,799363,80,0,0,0,4210303409,285212
2240572,104640,1308,804995,43,804980,81,0,0,0,4210306025,288553
2281385,105948,1308,838243,44,805077,82,0,0,0,4210308641,291880
2319549,107256,1308,876407,45,845890,83,0,0,0,4210311257,293685
2319648,109872,1308,861377,46,884054,85,0,0,0,4210313873,293928
2357251,111180,1308,880235,47,884023,86,0,0,0,4210319105,298379
2396590,112488,1308,919574,47,880297,87,0,0,0,4210321721,299009
2397028,115104,1308,909522,48,919636,89,0,0,0,4210324337,298190
2439693,116412,1308,919441,49,919974,90,0,0,0,4210329569,301391
2479780,117720,1308,959528,49,919501,91,0,0,0,4210332185,301418
2479879,119028,1308,952645,50,959588,92,0,0,0,4210334801,300083
2516551,120336,1308,989317,50,959588,93,0,0,0,4210337417,299609
2516650,121644,1308,975723,51,996260,94,0,0,0,4210340033,298036
2559045,122952,1308,1018118,51,996314,95,0,0,0,4210342649,297616
2599731,124260,1308,1041347,52,1038709,96,0,0,0,4210345265,295899
2599855,125568,1308,1041471,52,1041406,97,0,0,0,4210347881,293874
2639713,126876,1308,1072152,53,1041530,98,0,0,0,4210350497,292496
2678908,128184,1308,1111347,53,1081035,99,0,0,0,4210353113,290501
2679072,130800,1308,1078681,54,1120230,101,0,0,0,4210355729,287699
2720465,132108,1308,1113672,55,1078738,102,0,0,0,4210360961,289466
2759360,133416,1308,1152567,55,1120034,103,0,0,0,4210363577,287771
2759477,134724,1308,1119530,56,1158929,104,0,0,0,4210366193,285291
2798231,136032,1308,1158284,56,1119589,105,0,0,0,4210368809,284633
2840505,137340,1308,1194320,57,1158343,106,0,0,0,4210371425,283072
2840626,138648,1308,1194441,57,1200320,107,0,0,0,4210374041,280863
2840673,139956,1308,1160382,58,1200441,108,0,0,0,4210376657,279286
2879457,141264,1308,1199166,58,1160460,109,0,0,0,4210379273,279321
2879555,142572,1308,1193163,59,1199244,110,0,0,0,4210381889,278425
