now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una
0,1308,1308,715951,0,0,2,0,0,1,3535666624,38474,3535654852
39669,2616,1308,755620,1,715951,3,0,0,1,3535669240,42043,3535656160
80067,3924,1308,795995,2,755620,4,0,0,1,3535671856,45277,3535657468
119301,5232,1308,835229,3,796018,5,0,0,1,3535674472,48159,3535658776
160030,6540,1308,875845,4,835252,6,0,0,1,3535677088,50705,3535660084
200824,7848,1308,916639,5,875981,7,0,0,1,3535679704,52920,3535661392
239994,9156,1308,955809,6,916775,8,0,0,1,3535682320,54829,3535662700
279543,10464,1308,995358,7,955945,9,0,0,1,3535684936,56477,3535664008
320194,11772,1308,1035908,8,995494,10,0,0,1,3535687552,57888,3535665316
359987,13080,1308,1075701,9,1036145,11,0,0,1,3535690168,59084,3535666624
679894,14388,1308,679823,10,1075938,12,0,0,1,3535692784,60100,3535667932
721538,15696,1308,721467,10,716022,13,0,0,0,3535695400,64882,3535669240
760733,17004,1308,720990,11,721538,14,0,0,0,3535698016,69252,3535670548
799689,18312,1308,759946,11,755694,15,0,0,0,3535700632,73618,3535671856
839762,19620,1308,750802,12,760020,16,0,0,0,3535703248,77499,3535673164
880246,20928,1308,791286,12,804888,17,0,0,0,3535705864,81474,3535674472
921622,22236,1308,778342,13,804888,18,0,0,0,3535708480,84884,3535675780
959557,23544,1308,816277,13,859208,19,0,0,0,3535711096,88465,3535677088
999222,24852,1308,804349,14,859208,20,0,0,0,3535713712,91486,3535678396
1039811,26160,1308,844938,14,910688,21,0,0,0,3535716328,94698,3535679704
1083149,27468,1308,838843,15,910688,22,0,0,0,3535718944,97298,3535681012
1119569,28776,1308,875263,15,960121,23,0,0,0,3535721560,100041,3535682320
1160359,30084,1308,868341,16,960121,24,0,0,0,3535724176,102249,3535683628
1199926,31392,1308,907908,16,1007833,25,0,0,0,3535726792,104651,3535684936
1239976,32700,1308,901638,17,1007833,26,0,0,0,3535729408,106483,3535686244
1279731,34008,1308,941393,17,1054153,27,0,0,0,3535732024,108537,3535687552
1319999,35316,1308,936471,18,1054153,28,0,0,0,3535734640,110044,3535688860
1361555,36624,1308,978027,18,1099242,29,0,0,0,3535737256,111783,3535690168
