now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una,cwnd_MB,ssthresh_pkt
0,1,1370,7744,0,0,1,0,0,1,3473569077,1.84467440737096E+019,3473569077,0.0137,2147483647
11708,43,1370,11387,0,0,2,0,0,1,3473569119,3538223,3473569119,0.0137,2147483647
23605,1579,1370,4106,1,11387,4,0,0,1,3473570655,3341718,3473570655,0.0137,2147483647
36785,1627,1370,9908,2,4106,5,0,0,1,3473570703,3564111,3473570703,0.0137,2147483647
86072,1643,1370,43580,2,4106,6,0,0,1,3473570719,3439888,3473570719,0.0137,2147483647
91691,1687,1370,5596,2,4106,7,0,0,1,3473570763,2206607,3473570763,0.0137,2147483647
100031,1755,1370,4949,1,5596,8,0,0,0,3473570831,2369294,3473570831,0.0137,2147483647
103959,2383,1370,3801,1,4949,9,0,0,1,3473571459,2551745,3473571459,0.0137,2147483647
126214,3547,1370,12413,1,3801,10,0,0,1,3473572623,2775878,3473572623,0.0137,2147483647
171686,3659,1370,45145,1,3801,11,0,0,1,3473572735,2689273,3473572735,0.0137,2147483647
227713,3779,1370,3043,1,3801,12,0,0,1,3473572855,1882094,3473572855,0.0137,2147483647
234676,3855,1370,2073,1,3043,13,0,0,1,3473572931,2088593,3473572931,0.0137,2147483647
237655,9335,1370,2003,1,2073,17,0,0,1,3473586631,2334249,3473578411,0.0137,2147483647
240074,14815,1370,3248,4,2003,21,0,0,1,3473596221,3645911,3473583891,0.01918,2147483647
242365,25775,1370,2018,4,2003,29,0,0,1,3473608551,5130952,3473594851,0.02466,2147483647
244888,38105,1370,1910,12,4710,38,0,0,0,3473623621,8086495,3473607181,0.03562,2147483647
257797,54545,1370,12416,17,6152,50,0,0,0,3473642801,11587373,3473623621,0.04795,2147483647
257880,73725,1370,10636,21,15432,64,0,0,0,3473686641,14160790,3473642801,0.06439,2147483647
272104,95645,1370,14266,26,12992,80,0,0,0,3473726371,17997442,3473664721,0.08357,2147483647
272218,117565,1370,13606,30,14307,96,0,0,0,3473755141,21290949,3473686641,0.10549,2147483647
272784,142225,1370,12624,46,14421,114,0,0,0,3473814051,24569252,3473711301,0.12741,2147483647
272835,153185,1370,11304,50,14904,122,0,0,0,3473849671,28549369,3473722261,0.15207,2147483647
273032,157295,1370,11501,58,14955,125,0,0,0,3473849671,30374959,3473726371,0.16303,2147483647
275186,184695,1370,3008,61,15152,145,0,0,0,3473886661,30865043,3473753771,0.16714,2147483647
280180,217575,1370,7327,65,14340,169,0,0,0,3473948311,39489983,3473786651,0.19454,2147483647
280270,223055,1370,6134,73,14241,173,0,0,0,3473996261,47273908,3473792131,0.22742,2147483647
280322,244975,1370,6186,77,15524,189,0,0,0,3473996261,50710358,3473814051,0.2329,2147483647
280363,261415,1370,5112,93,15524,201,0,0,0,3474059281,57843796,3473830491,0.25482,2147483647
299644,280595,1370,24393,87,15091,215,0,0,0,3474101751,64985101,3473849671,0.27126,2147483647
299762,299775,1370,23263,101,26860,229,0,0,0,3474140111,56101989,3473868851,0.29044,2147483647
299812,317585,1370,23313,104,26730,242,0,0,0,3474178471,51742931,3473886661,0.30962,2147483647
299847,338135,1370,22150,117,26780,257,0,0,0,3474178471,48921717,3473907211,0.32743,2147483647
299892,364165,1370,22195,112,24661,276,0,0,0,3474178471,48058557,3473933241,0.34798,2147483647
299930,376495,1370,21053,131,24706,285,0,0,0,3474233271,48428855,3473945571,0.37401,2147483647
299962,379235,1370,21085,140,24744,287,0,0,0,3474233271,47853592,3473948311,0.38634,2147483647
300016,414855,1370,19786,142,24776,313,0,0,0,3474233271,46418169,3473983931,0.38908,2147483647
300049,427185,1370,19819,144,19836,322,0,0,0,3474233271,49551172,3473996261,0.4247,2147483647
300088,453215,1370,19351,153,19869,341,0,0,0,3474233271,50013088,3474022291,0.43703,2147483647
300120,490205,1370,19383,152,19766,368,0,0,0,3474233271,52290666,3474059281,0.46306,2147483647
300155,529935,1370,18329,179,19798,397,0,0,0,3474233271,55809151,3474099011,0.50005,365
1308666,17930305,1370,57596,662,56766,13098,0,0,0,3492780331,33500492,3491499381,1.31383,365
1308784,17954965,1370,56438,676,61213,13116,0,0,0,3492814581,32622587,3491524041,1.3152,365
1308822,17964555,1370,56476,690,59077,13123,0,0,0,3492814581,31990361,3491533631,1.31657,365
1308855,18000175,1370,53963,697,59115,13149,0,0,0,3492814581,31426406,3491569251,1.31657,365
1308916,18033055,1370,54024,723,59381,13173,0,0,0,3492852941,31107853,3491602131,1.31931,365
1308954,18045385,1370,52790,747,59381,13182,0,0,0,3492889931,30902511,3491614461,1.32068,365
1308985,18067305,1370,52821,756,60653,13198,0,0,0,3492889931,30789492,3491636381,1.32068,365
1309034,18090595,1370,51597,772,60653,13215,0,0,0,3492889931,30720790,3491659671,1.32205,365
1309065,18101555,1370,51628,789,61926,13223,0,0,0,3492889931,30755900,3491670631,1.32342,365
1309098,18134435,1370,50388,797,61926,13247,0,0,0,3492889931,30756421,3491703511,1.32342,365
1309129,18170055,1370,49147,821,63199,13273,0,0,0,3492889931,30881410,3491739131,1.32479,365
1309165,18179645,1370,47910,847,64471,13280,0,0,0,3492889931,31025135,3491748721,1.32753,365
1309487,18191975,1370,48232,854,65744,13289,0,0,0,3492928291,31286841,3491761051,1.32753,365
1345642,18204305,1370,84387,863,65744,13298,0,0,0,3493081731,31526941,3491773381,1.3289,365
1345758,18235815,1370,83230,872,95935,13321,0,0,0,3493102281,29096150,3491804891,1.3289,365
1345820,18238555,1370,83292,895,96051,13323,0,0,0,3493135161,27352991,3491807631,1.33027,365
1345856,18272805,1370,82056,897,96113,13348,0,0,0,3493135161,25966357,3491841881,1.33027,365
1345899,18281025,1370,78274,922,96149,13354,0,0,0,3493166671,24974767,3491850101,1.33301,365
1345930,18285135,1370,78305,924,78289,13357,0,0,0,3493166671,24300149,3491854211,1.33301,365
1345961,18318015,1370,78100,927,78320,13381,0,0,0,3493166671,23737694,3491887091,1.33301,365
1346010,18326235,1370,76851,925,78296,13387,0,0,0,3493166671,23299087,3491895311,1.33438,365
1346042,18349525,1370,76883,900,78310,13404,0,0,0,3493166671,22959790,3491918601,1.33438,365
1346073,18371445,1370,75620,917,78342,13420,0,0,0,3493166671,22692876,3491940521,1.33575,365
1346109,18381035,1370,75656,729,78189,13427,0,0,0,3493166671,22517466,3491950111,1.33712,365
1346144,18415285,1370,73115,736,78225,13452,0,0,0,3493166671,22345036,3491984361,1.33712,365
1346175,18434465,1370,73146,761,78260,13466,0,0,0,3493166671,22290096,3492003541,1.33986,365
1346205,18475565,1370,71889,775,78291,13496,0,0,0,3493166671,22250996,3492044641,1.33986,365
1346240,18501595,1370,70636,805,78321,13515,0,0,0,3493166671,22261148,3492070671,1.3426,365
1346284,18507075,1370,70680,824,78356,13519,0,0,0,3493166671,22350917,3492076151,1.34397,365
1346312,18546805,1370,68133,828,78400,13548,0,0,0,3493166671,22408214,3492115881,1.34397,365
1346336,18590645,1370,66905,758,70609,13580,0,0,0,3493166671,22553824,3492159721,1.34671,365
1346358,18601605,1370,66927,790,70633,13588,0,0,0,3493166671,22715304,3492170681,1.34808,365
1346381,18635855,1370,64446,798,70655,13613,0,0,0,3493166671,22910865,3492204931,1.34945,365
1346403,18681065,1370,63216,823,70678,13646,0,0,0,3493166671,23137990,3492250141,1.35082,365
1354586,18696135,1370,71399,856,70700,13657,0,0,0,3493377651,23394754,3492265211,1.35219,365
1354649,18726275,1370,70210,867,78883,13679,0,0,0,3493377651,23332631,3492295351,1.35356,365
1354681,18727645,1370,70242,889,78946,13680,0,0,0,3493377651,23331237,3492296721,1.35493,365
1354720,18759155,1370,69029,890,78978,13703,0,0,0,3493377651,23308075,3492328231,1.35493,365
1354749,18770115,1370,67806,913,79017,13711,0,0,0,3493377651,23362119,3492339191,1.3563,365
1354774,18815325,1370,66552,888,70454,13744,0,0,0,3493377651,23464024,3492384401,1.35767,365
1354801,18829025,1370,66579,824,70388,13754,0,0,0,3493377651,23555679,3492398101,1.35904,365
1354827,18860535,1370,65390,834,70415,13777,0,0,0,3493377651,23692955,3492429611,1.36041,365
