now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una,cwnd_MB,ssthresh_pkt
107723761,13307592,1308,41023362,3156,41039895,10175,0,0,0,272866502,182142,266654810,6.214308,48
107723899,13308900,1308,41023500,3157,41079484,10176,0,0,0,272869118,182135,266656118,6.215616,48
107764412,13310208,1308,41047740,3158,41079622,10177,0,0,0,272871734,182095,266657426,6.215616,48
107764532,13311516,1308,41047860,3157,41079840,10178,0,0,0,272874350,182085,266658734,6.216924,48
107764571,13312824,1308,41031622,3158,41079960,10179,0,0,0,272874350,182043,266660042,6.216924,48
107804636,13314132,1308,41071687,3159,41079999,10180,0,0,0,272876966,182053,266661350,6.218232,48
107804760,13315440,1308,41055534,3160,41120064,10181,0,0,0,272879582,182006,266662658,6.218232,48
107804809,13316748,1308,41055583,3161,41120188,10182,0,0,0,272882198,182012,266663966,6.21954,48
107844795,13318056,1308,41079292,3162,41120237,10183,0,0,0,272882198,181984,266665274,6.21954,48
107844916,13319364,1308,41079413,3160,41120642,10184,0,0,0,272884814,181985,266666582,6.220848,48
107844969,13320672,1308,41063195,3161,41120763,10185,0,0,0,272887430,181952,266667890,6.220848,48
107883782,13321980,1308,41102008,3162,41120816,10186,0,0,0,272890046,181970,266669198,6.222156,48
107883902,13323288,1308,41085856,3163,41159629,10187,0,0,0,272891354,181931,266670506,6.222156,48
107924167,13324596,1308,41126121,3162,41119087,10188,0,0,0,272893970,181944,266671814,6.223464,48
107963848,13325904,1308,41149532,3163,41159352,10189,0,0,0,272895278,181900,266673122,6.223464,48
107963969,13327212,1308,41149653,3164,41199033,10190,0,0,0,272897894,181887,266674430,6.224772,48
108004065,13328520,1308,41173480,3165,41199154,10191,0,0,0,272897894,181842,266675738,6.224772,48
108004189,13329828,1308,41173604,3166,41239250,10192,0,0,0,272900510,181827,266677046,6.22608,48
108045107,13331136,1308,41198252,3167,41239374,10193,0,0,0,272903126,181781,266678354,6.22608,48
108045230,13332444,1308,41198375,3165,41239600,10194,0,0,0,272905742,181765,266679662,6.227388,48
108045271,13333752,1308,41182145,3166,41239723,10195,0,0,0,272905742,181718,266680970,6.227388,48
108083819,13335060,1308,41220693,3167,41239764,10196,0,0,0,272909666,181723,266682278,6.228696,48
108083939,13336368,1308,41204542,3168,41278312,10197,0,0,0,272910974,181674,266683586,6.228696,48
108124841,13337676,1308,41245444,3168,41239056,10198,0,0,0,272913590,181677,266684894,6.230004,48
108124966,13338984,1308,41229302,3169,41279958,10199,0,0,0,272914898,181624,266686202,6.230004,48
108164870,13340292,1308,41269206,3170,41280083,10200,0,0,0,272917514,181625,266687510,6.231312,48
108204504,13341600,1308,41292573,3171,41319987,10201,0,0,0,272918822,181571,266688818,6.231312,48
108245018,13342908,1308,41333087,3172,41359621,10202,0,0,0,272921438,181548,266690126,6.23262,48
108245138,13344216,1308,41316940,3173,41400135,10203,0,0,0,272922746,181473,266691434,6.23262,48
108283940,13345524,1308,41355742,3174,41400255,10204,0,0,0,272925362,181454,266692742,6.233928,48
108323789,13346832,1308,41379324,3175,41439057,10205,0,0,0,272926670,181383,266694050,6.233928,48
108364697,13348140,1308,41420232,3176,41478906,10206,0,0,0,272929286,181346,266695358,6.235236,48
108364815,13349448,1308,41404083,3177,41519814,10207,0,0,0,272930594,181258,266696666,6.235236,48
108404820,13350756,1308,41444088,3175,41440302,10208,0,0,0,272933210,181227,266697974,6.236544,48
108404940,13352064,1308,41427935,3176,41480307,10209,0,0,0,272934518,181146,266699282,6.236544,48
108404992,13353372,1308,41427987,3177,41480427,10210,0,0,0,272937134,181121,266700590,6.237852,48
108444139,13354680,1308,41450861,3178,41480479,10211,0,0,0,272937134,181067,266701898,6.237852,48
108444259,13355988,1308,41450981,3179,41519626,10212,0,0,0,272939750,181044,266703206,6.23916,48
108444312,13357296,1308,41434761,3180,41519746,10213,0,0,0,272942366,180991,266704514,6.23916,48
108483949,13358604,1308,41474398,3180,41479665,10214,0,0,0,272944982,180992,266705822,6.240468,48
108484069,13359912,1308,41458246,3181,41519302,10215,0,0,0,272946290,180938,266707130,6.240468,48
108523986,13361220,1308,41498163,3180,41479641,10216,0,0,0,272948906,180937,266708438,6.241776,48
108524109,13363836,1308,41478618,3181,41519558,10218,0,0,0,272950214,180881,266711054,6.241776,48
108524159,13365144,1308,41465777,3182,41478682,10219,0,0,0,272952830,180881,266712362,6.243084,48
108564034,13366452,1308,41505652,3182,41478619,10220,0,0,0,272955446,180893,266713670,6.244392,48
108564157,13367760,1308,41479566,3183,41518494,10221,0,0,0,272958062,180848,266714978,6.244392,48
108564207,13369068,1308,41479616,3182,41479627,10222,0,0,0,272960678,180861,266716286,6.2457,48
108604384,13370376,1308,41511652,3183,41479677,10223,0,0,0,272960678,180839,266717594,6.2457,48
108604507,13371684,1308,41511775,3183,41519743,10224,0,0,0,272963294,180841,266718902,6.247008,48
108604561,13372992,1308,41495543,3184,41519866,10225,0,0,0,272965910,180809,266720210,6.247008,48
108644077,13374300,1308,41535059,3184,41519867,10226,0,0,0,272968526,180827,266721518,6.248316,48
108644198,13375608,1308,41518899,3185,41559383,10227,0,0,0,272969834,180789,266722826,6.248316,48
108684490,13376916,1308,41559191,3184,41520211,10228,0,0,0,272972450,180802,266724134,6.249624,48
108684631,13378224,1308,41543056,3185,41560503,10229,0,0,0,272973758,180758,266725442,6.249624,48
108684684,13379532,1308,41543109,3185,41560576,10230,0,0,0,272976374,180767,266726750,6.250932,48
108724180,13380840,1308,41559525,3186,41560629,10231,0,0,0,272976374,180741,266728058,6.250932,48
108724301,13382148,1308,41559646,3186,41559589,10232,0,0,0,272978990,180748,266729366,6.25224,48
108724353,13383456,1308,41550234,3187,41559710,10233,0,0,0,272981606,180720,266730674,6.25224,48
108764829,13384764,1308,41590710,3186,41559614,10234,0,0,0,272984222,180739,266731982,6.253548,48
108764949,13386072,1308,41574565,3187,41600090,10235,0,0,0,272985530,180700,266733290,6.253548,48
108804082,13387380,1308,41613698,3187,41600163,10236,0,0,0,272988146,180713,266734598,6.254856,48
108804202,13388688,1308,41597553,3188,41639296,10237,0,0,0,272989454,180670,266735906,6.254856,48
108804254,13389996,1308,41597605,3188,41599859,10238,0,0,0,272992070,180679,266737214,6.256164,48
108844702,13391304,1308,41621792,3189,41599911,10239,0,0,0,272992070,180654,266738522,6.256164,48
108844824,13392612,1308,41621914,3187,41640214,10240,0,0,0,272994686,180656,266739830,6.257472,48
108844877,13393920,1308,41605713,3188,41640336,10241,0,0,0,272997302,180625,266741138,6.257472,48
108884377,13395228,1308,41645213,3189,41640389,10242,0,0,0,272999918,180644,266742446,6.25878,48
108884498,13396536,1308,41629079,3190,41679889,10243,0,0,0,273001226,180607,266743754,6.25878,48
108884547,13397844,1308,41629128,3190,41640242,10244,0,0,0,273003842,180621,266745062,6.260088,48
108923681,13399152,1308,41652015,3191,41640291,10245,0,0,0,273003842,180600,266746370,6.260088,48
108923812,13400460,1308,41652146,3190,41679281,10246,0,0,0,273007766,180607,266747678,6.261396,48
108963660,13401768,1308,41675756,3191,41679412,10247,0,0,0,273007766,180580,266748986,6.261396,48
108963797,13403076,1308,41675893,3191,41679737,10248,0,0,0,273010382,180581,266750294,6.262704,48
108963854,13404384,1308,41659710,3192,41679874,10249,0,0,0,273012998,180549,266751602,6.262704,48
109004435,13405692,1308,41700291,3192,41679827,10250,0,0,0,273015614,180567,266752910,6.264012,48
109004555,13407000,1308,41684178,3193,41720408,10251,0,0,0,273016922,180529,266754218,6.264012,48
109004606,13408308,1308,41684229,3192,41720445,10252,0,0,0,273019538,180541,266755526,6.26532,48
109043455,13409616,1308,41706855,3193,41720496,10253,0,0,0,273019538,180519,266756834,6.26532,48
109044589,13410924,1308,41707989,3193,41718855,10254,0,0,0,273022154,180525,266758142,6.266628,48
109084054,13412232,1308,41731232,3194,41719989,10255,0,0,0,273024770,180497,266759450,6.266628,48
109084181,13413540,1308,41731359,3194,41759349,10256,0,0,0,273027386,180497,266760758,6.267936,48
109084225,13414848,1308,41715189,3195,41759476,10257,0,0,0,273027386,180465,266762066,6.267936,48
109124054,13416156,1308,41746913,3195,41759474,10258,0,0,0,273030002,180482,266763374,6.269244,48
109124176,13417464,1308,41747035,3195,41759220,10259,0,0,0,273032618,180448,266764682,6.269244,48
109124230,13418772,1308,41730885,3196,41759342,10260,0,0,0,273035234,180455,266765990,6.270552,48
109164177,13420080,1308,41770832,3195,41759255,10261,0,0,0,273035234,180438,266767298,6.270552,48
109164297,13421388,1308,41754760,3196,41799202,10262,0,0,0,273037850,180438,266768606,6.27186,48
109164346,13422696,1308,41754809,3196,41760375,10263,0,0,0,273040466,180414,266769914,6.27186,48
109204037,13424004,1308,41778312,3197,41760424,10264,0,0,0,273043082,180431,266771222,6.273168,48
109204156,13425312,1308,41778431,3197,41800026,10265,0,0,0,273044390,180400,266772530,6.273168,48
109244432,13426620,1308,41799923,3198,41800145,10266,0,0,0,273047006,180411,266773838,6.274476,48
109244549,13427928,1308,41800040,3197,41799987,10267,0,0,0,273048314,180375,266775146,6.274476,48
109244604,13429236,1308,41786532,3198,41800104,10268,0,0,0,273050930,180382,266776454,6.275784,48
109284820,13430544,1308,41826748,3198,41800047,10269,0,0,0,273050930,180362,266777762,6.275784,48
109284943,13431852,1308,41810707,3199,41840263,10270,0,0,0,273053546,180361,266779070,6.277092,48
109284993,13433160,1308,41810757,3197,41840300,10271,0,0,0,273056162,180335,266780378,6.277092,48
109324209,13434468,1308,41833825,3198,41840350,10272,0,0,0,273058778,180350,266781686,6.2784,48
109324329,13435776,1308,41833945,3199,41879566,10273,0,0,0,273060086,180318,266782994,6.2784,48
109324385,13437084,1308,41817852,3200,41879686,10274,0,0,0,273062702,180328,266784302,6.279708,48
109324442,13438392,1308,41817909,3200,41840116,10275,0,0,0,273062702,180312,266785610,6.279708,48
109364803,13439700,1308,41842124,3201,41840173,10276,0,0,0,273065318,180336,266786918,6.281016,48
109364930,13441008,1308,41842251,3200,41880156,10277,0,0,0,273067934,180311,266788226,6.281016,48
109364981,13442316,1308,41826164,3201,41880283,10278,0,0,0,273070550,180326,266789534,6.282324,48
109403654,13443624,1308,41864837,3201,41840798,10279,0,0,0,273070550,180315,266790842,6.282324,48
109403776,13444932,1308,41848827,3202,41879471,10280,0,0,0,273073166,180323,266792150,6.283632,48
109403826,13446240,1308,41848877,3202,41879259,10281,0,0,0,273075782,180305,266793458,6.283632,48
109443960,13447548,1308,41872880,3203,41879309,10282,0,0,0,273078398,180327,266794766,6.28494,48
109444083,13448856,1308,41873003,3203,41919355,10283,0,0,0,273079706,180300,266796074,6.28494,48
109444135,13450164,1308,41856929,3204,41919478,10284,0,0,0,273082322,180314,266797382,6.286248,48
109483953,13451472,1308,41896747,3203,41874930,10285,0,0,0,273082322,180303,266798690,6.286248,48
109484077,13452780,1308,41880749,3204,41914748,10286,0,0,0,273084938,180308,266799998,6.287556,48
109484128,13454088,1308,41880800,3203,41914770,10287,0,0,0,273087554,180289,266801306,6.287556,48
109484526,13455396,1308,41865084,3204,41914821,10288,0,0,0,273090170,180310,266802614,6.288864,48
109524601,13456704,1308,41905159,3205,41915219,10289,0,0,0,273090170,180304,266803922,6.288864,48
109524723,13458012,1308,41889168,3206,41955294,10290,0,0,0,273092786,180314,266805230,6.290172,48
109524774,13459320,1308,41889219,3205,41920368,10291,0,0,0,273095402,180299,266806538,6.290172,48
109563593,13460628,1308,41911929,3206,41920419,10292,0,0,0,273098018,180324,266807846,6.29148,48
109563680,13461936,1308,41912016,3206,41959033,10293,0,0,0,273098018,180300,266809154,6.29148,48
