now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B,cwnd_pkt
55845125,1308,2,0,3.691176,48,26707736,8261328,0,11914572,2822
55845397,1308,2,0,3.692484,48,26699720,8262636,0,11914572,2823
55845457,1308,2,0,3.692484,48,26699780,8263944,0,11914572,2823
55884233,2616,2,0,3.693792,48,26719568,8266560,0,11919804,2824
55884310,1308,2,0,3.6951,48,26715497,8267868,0,11919804,2825
55884347,1308,2,0,3.6951,48,26715534,8269176,0,11919804,2825
55924522,1308,2,0,3.696408,48,26719908,8270484,0,11927652,2826
55924596,1308,2,0,3.696408,48,26719982,8271792,0,11927652,2826
55924636,1308,2,0,3.697716,48,26715869,8273100,0,11927652,2827
55924669,1308,2,0,3.697716,48,26715902,8274408,0,11927652,2827
55964516,1308,2,0,3.699024,48,26747436,8275716,0,11932884,2828
55964587,1308,2,0,3.699024,48,26747507,8277024,0,11932884,2828
55964628,1308,2,0,3.700332,48,26739233,8278332,0,11932884,2829
55964660,1308,2,0,3.700332,48,26739265,8279640,0,11932884,2829
56004613,1308,2,0,3.70164,48,26770903,8280948,0,11940732,2830
56004691,1308,2,0,3.70164,48,26759616,8282256,0,11940732,2830
56004729,1308,2,0,3.702948,48,26757573,8283564,0,11940732,2831
56004798,1308,2,0,3.702948,48,26757642,8284872,0,11940732,2831
56043934,1308,2,0,3.704256,48,26788453,8286180,0,11948580,2832
56044005,1308,2,0,3.704256,48,26788524,8287488,0,11948580,2832
56044044,1308,2,0,3.705564,48,26758985,8288796,0,11948580,2833
56044077,1308,2,0,3.705564,48,26759018,8290104,0,11948580,2833
56084001,1308,2,0,3.706872,48,26794773,8291412,0,11953812,2834
56084088,1308,2,0,3.706872,48,26794860,8292720,0,11953812,2834
56084129,1308,2,0,3.70818,48,26786560,8294028,0,11953812,2835
56084490,1308,2,0,3.70818,48,26786921,8295336,0,11953812,2835
56124331,1308,2,0,3.709488,48,26799188,8296644,0,11961660,2836
56124406,1308,2,0,3.709488,48,26799263,8297952,0,11961660,2836
56124446,1308,2,0,3.710796,48,26795126,8299260,0,11961660,2837
56124479,1308,2,0,3.710796,48,26795159,8300568,0,11961660,2837
56164786,1308,2,0,3.712104,48,26827110,8301876,0,11966892,2838
56164859,1308,2,0,3.712104,48,26827183,8303184,0,11966892,2838
56164900,1308,2,0,3.713412,48,26800544,8304492,0,11966892,2839
56164933,1308,2,0,3.713412,48,26800577,8305800,0,11966892,2839
56164966,1308,2,0,3.71472,48,26757702,8307108,0,11966892,2840
56205021,1308,2,0,3.71472,48,26797757,8308416,0,11974740,2840
56205097,1308,2,0,3.716028,48,26759644,8309724,0,11974740,2841
56205135,1308,2,0,3.716028,48,26759682,8311032,0,11974740,2841
56205170,1308,2,0,3.717336,48,26755520,8312340,0,11974740,2842
56244614,1308,2,0,3.717336,48,26794964,8313648,0,11979972,2842
56244691,1308,2,0,3.718644,48,26786637,8314956,0,11979972,2843
56244729,1308,2,0,3.718644,48,26786675,8316264,0,11979972,2843
56244763,1308,2,0,3.719952,48,26759348,8317572,0,11979972,2844
56244795,1308,2,0,3.719952,48,26759380,8318880,0,11979972,2844
56284586,1308,2,0,3.72126,48,26794960,8320188,0,11987820,2845
56284661,1308,2,0,3.72126,48,26795035,8321496,0,11987820,2845
56284701,1308,2,0,3.722568,48,26786648,8322804,0,11987820,2846
56284734,1308,2,0,3.722568,48,26786681,8324112,0,11987820,2846
56324701,1308,2,0,3.723876,48,26799626,8325420,0,11993052,2847
56324777,1308,2,0,3.723876,48,26797593,8326728,0,11993052,2847
56324815,1308,2,0,3.725184,48,26797631,8328036,0,11993052,2848
56324851,1308,2,0,3.725184,48,26760577,8329344,0,11993052,2848
56324883,1308,2,0,3.726492,48,26758495,8330652,0,11993052,2849
56363927,1308,2,0,3.726492,48,26797539,8331960,0,12000900,2849
56364003,1308,2,0,3.7278,48,26759553,8333268,0,12000900,2850
56364042,1308,2,0,3.7278,48,26757474,8334576,0,12000900,2850
56364075,1308,2,0,3.729108,48,26757507,8335884,0,12000900,2851
56403930,1308,2,0,3.729108,48,26758869,8337192,0,12006132,2851
56404005,1308,2,0,3.730416,48,26758944,8338500,0,12006132,2852
