now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B,cwnd_pkt
0,1308,1,0,0.01308,2147483647,692819,1308,0,13080,10
9906,1308,1,0,0.014388,2147483647,702725,2616,0,15696,11
40102,1308,1,0,0.015696,2147483647,732898,3924,0,18312,12
79870,1308,1,0,0.017004,2147483647,772666,5232,0,20928,13
79965,1308,1,0,0.018312,2147483647,772634,6540,0,23544,14
99539,1308,1,0,0.01962,2147483647,792208,7848,0,26160,15
99616,1308,1,0,0.020928,2147483647,792285,9156,0,26160,16
159747,1308,1,0,0.022236,2147483647,852416,10464,0,28776,17
201538,1308,1,0,0.023544,2147483647,894098,11772,0,31392,18
213851,1308,1,0,0.024852,2147483647,906411,13080,0,31392,19
674522,1308,1,0,0.02616,2147483647,674462,14388,0,39240,20
690119,1308,1,0,0.027468,2147483647,690059,15696,0,41856,21
719967,1308,1,0,0.028776,2147483647,689740,17004,0,44472,22
730143,1308,1,0,0.030084,2147483647,699916,18312,0,47088,23
769297,1308,1,0,0.031392,2147483647,683356,19620,0,49704,24
800538,1308,1,0,0.0327,2147483647,714597,20928,0,52320,25
809199,1308,1,0,0.034008,2147483647,671211,22236,0,54936,26
834374,1308,1,0,0.035316,2147483647,696386,23544,0,57552,27
879438,1308,1,0,0.036624,2147483647,692264,24852,0,60168,28
879536,1308,1,0,0.037932,2147483647,692362,26160,0,62784,29
909745,1308,1,0,0.03924,2147483647,675963,27468,0,65400,30
929917,1308,1,0,0.040548,2147483647,696135,28776,0,68016,31
964641,1308,1,0,0.041856,2147483647,688451,30084,0,70632,32
1001334,1308,1,0,0.043164,2147483647,725144,31392,0,73248,33
1044431,1308,1,0,0.044472,2147483647,727275,32700,0,75864,34
1074923,1308,1,0,0.04578,2147483647,757767,34008,0,78480,35
1120754,1308,1,0,0.047088,2147483647,764815,35316,0,81096,36
1120860,1308,1,0,0.048396,2147483647,764921,36624,0,83712,37
1120934,1308,1,0,0.049704,2147483647,726213,37932,0,86328,38
1160255,1308,1,0,0.051012,2147483647,765534,39240,0,88944,39
1361377,1308,1,0,0.05232,2147483647,686795,40548,0,91560,40
1369930,1308,1,0,0.053628,2147483647,695348,41856,0,94176,41
1400043,1308,1,0,0.054936,2147483647,707294,43164,0,96792,42
1441367,1308,1,0,0.056244,2147483647,748618,44472,0,99408,43
1441470,1308,1,0,0.057552,2147483647,714453,45780,0,102024,44
1479722,1308,1,0,0.05886,2147483647,752705,47088,0,104640,45
1520108,1308,1,0,0.060168,2147483647,760662,48396,0,107256,46
1520212,1308,1,0,0.061476,2147483647,760766,49704,0,109872,47
1520287,1308,1,0,0.062784,2147483647,730003,51012,0,112488,48
1530095,1308,1,0,0.064092,2147483647,739811,52320,0,115104,49
1564260,1308,1,0,0.0654,2147483647,744655,53628,0,117720,50
1564358,1308,1,0,0.066708,2147483647,744753,54936,0,120336,51
1564406,1308,1,0,0.068016,2147483647,716696,56244,0,122952,52
1564440,1308,1,0,0.069324,2147483647,716730,57552,0,122952,53
1564473,1308,1,0,0.070632,2147483647,689974,58860,0,122952,54
1569444,1308,1,0,0.07194,2147483647,694945,60168,0,122952,55
1599953,1308,1,0,0.073248,2147483647,699743,61476,0,128184,56
1600027,1308,1,0,0.074556,2147483647,699817,62784,0,128184,57
1600066,1308,1,0,0.075864,2147483647,675150,64092,0,128184,58
1609543,1308,1,0,0.077172,2147483647,684627,65400,0,130800,59
1641958,1308,1,0,0.07848,2147483647,693260,66708,0,138648,60
1642033,1308,1,0,0.079788,2147483647,693335,68016,0,138648,61
1680532,1308,1,0,0.081096,2147483647,708971,69324,0,146496,62
1680604,1308,1,0,0.082404,2147483647,709043,70632,0,146496,63
1719552,1308,1,0,0.083712,2147483647,725891,71940,0,154344,64
1719628,1308,1,0,0.08502,2147483647,725967,73248,0,154344,65
1719668,1308,1,0,0.086328,2147483647,704648,74556,0,154344,66
1719701,1308,1,0,0.087636,2147483647,704681,75864,0,154344,67
1719735,1308,1,0,0.088944,2147483647,675245,77172,0,154344,68
1719765,1308,1,0,0.090252,2147483647,675275,78480,0,154344,69
1759870,2616,1,0,0.09156,2147483647,684883,81096,0,164808,70
1799886,2616,1,0,0.094176,2147483647,679071,83712,0,175272,72
1810151,1308,1,0,0.096792,2147483647,679580,85020,0,177888,74
1840041,1308,1,0,0.0981,2147483647,709470,86328,0,183120,75
1881358,1308,1,0,0.099408,2147483647,731646,87636,0,185736,76
1881461,1308,1,0,0.100716,2147483647,731749,88944,0,188352,77
1890114,1308,1,0,0.102024,2147483647,721756,90252,0,190968,78
1919484,1308,1,0,0.103332,2147483647,751126,91560,0,193584,79
2040291,1308,1,0,0.10464,2147483647,678855,92868,0,196200,80
2040399,1308,1,0,0.105948,2147483647,678963,94176,0,198816,81
2049747,1308,1,0,0.107256,2147483647,679453,95484,0,201432,82
2079279,1308,1,0,0.108564,2147483647,708985,96792,0,204048,83
2079493,1308,1,0,0.109872,2147483647,679391,98100,0,206664,84
2119637,1308,1,0,0.11118,2147483647,719535,99408,0,209280,85
2119746,1308,1,0,0.112488,2147483647,678318,100716,0,211896,86
2129932,1308,1,0,0.113796,2147483647,688504,102024,0,214512,87
2159836,1308,1,0,0.115104,2147483647,710180,103332,0,217128,88
2159943,1308,1,0,0.116412,2147483647,710287,104640,0,219744,89
2159994,1308,1,0,0.11772,2147483647,680212,105948,0,222360,90
2200622,1308,1,0,0.119028,2147483647,720840,107256,0,224976,91
2200729,1308,1,0,0.120336,2147483647,680561,108564,0,227592,92
2209316,1308,1,0,0.121644,2147483647,689148,109872,0,230208,93
2239845,1308,1,0,0.122952,2147483647,711902,111180,0,232824,94
2240270,1308,1,0,0.12426,2147483647,712327,112488,0,235440,95
2280425,1308,1,0,0.125568,2147483647,737177,113796,0,238056,96
2280530,1308,1,0,0.126876,2147483647,737282,115104,0,240672,97
2280582,1308,1,0,0.128184,2147483647,722354,116412,0,243288,98
2289566,1308,1,0,0.129492,2147483647,731338,117720,0,245904,99
2320381,1308,1,0,0.1308,2147483647,747458,119028,0,248520,100
2320485,1308,1,0,0.132108,2147483647,747562,120336,0,251136,101
2320537,1308,1,0,0.133416,2147483647,733183,121644,0,253752,102
2320572,1308,1,0,0.134724,2147483647,733218,122952,0,253752,103
2330137,1308,1,0,0.136032,2147483647,728608,124260,0,258984,104
2360351,1308,1,0,0.13734,2147483647,758822,125568,0,261600,105
2360461,1308,1,0,0.138648,2147483647,746022,126876,0,264216,106
2399944,1308,1,0,0.139956,2147483647,785505,128184,0,266832,107
2400050,1308,1,0,0.141264,2147483647,772700,129492,0,269448,108
2400101,1308,1,0,0.142572,2147483647,772751,130800,0,272064,109
2439833,1308,1,0,0.14388,2147483647,800410,132108,0,274680,110
2439941,1308,1,0,0.145188,2147483647,800518,133416,0,277296,111
2439993,1308,1,0,0.146496,2147483647,788757,134724,0,279912,112
2440028,1308,1,0,0.147804,2147483647,788792,136032,0,279912,113
2450416,1308,1,0,0.149112,2147483647,787367,137340,0,285144,114
2480211,1308,1,0,0.15042,2147483647,817162,138648,0,287760,115
2480315,1308,1,0,0.151728,2147483647,805452,139956,0,290376,116
2480366,1308,1,0,0.153036,2147483647,805503,141264,0,292992,117
2480402,1308,1,0,0.154344,2147483647,794165,142572,0,292992,118
2519893,1308,1,0,0.155652,2147483647,833656,143880,0,298224,119
2520001,1308,1,0,0.15696,2147483647,822390,145188,0,300840,120
2560166,1308,1,0,0.158268,2147483647,862555,146496,0,303456,121
2560288,1308,1,0,0.159576,2147483647,851304,147804,0,306072,122
2570286,1308,1,0,0.160884,2147483647,861302,149112,0,308688,123
2600379,1308,1,0,0.162192,2147483647,880362,150420,0,311304,124
2600469,1308,1,0,0.1635,2147483647,880452,151728,0,313920,125
2600535,1308,1,0,0.164808,2147483647,869486,153036,0,316536,126
2639570,1308,1,0,0.166116,2147483647,908521,154344,0,319152,127
2648330,1308,1,0,0.167424,2147483647,906248,155652,0,321768,128
2680029,1308,1,0,0.168732,2147483647,937947,156960,0,324384,129
2720444,1308,1,0,0.17004,2147483647,968343,158268,0,327000,130
2760513,1308,1,0,0.171348,2147483647,1008412,159576,0,329616,131
2800949,1308,1,0,0.172656,2147483647,1038829,160884,0,332232,132
2840460,1308,1,0,0.173964,2147483647,1078340,162192,0,334848,133
2840566,1308,1,0,0.175272,2147483647,1068427,163500,0,337464,134
2879447,1308,1,0,0.17658,2147483647,1107308,164808,0,340080,135
2879557,1308,1,0,0.177888,2147483647,1097399,166116,0,342696,136
2919810,1308,1,0,0.179196,2147483647,1137652,167424,0,345312,137
2928483,1308,1,0,0.180504,2147483647,1136613,168732,0,347928,138
2959494,1308,1,0,0.181812,2147483647,1167624,170040,0,350544,139
2959601,1308,1,0,0.18312,2147483647,1158019,171348,0,353160,140
3000313,1308,1,0,0.184428,2147483647,1198731,172656,0,355776,141
3000420,1308,1,0,0.185736,2147483647,1189126,173964,0,358392,142
3000469,1308,1,0,0.187044,2147483647,1189175,175272,0,361008,143
3040514,1308,1,0,0.188352,2147483647,1219508,176580,0,363624,144
3040620,1308,1,0,0.18966,2147483647,1219614,177888,0,366240,145
3040671,1308,1,0,0.190968,2147483647,1210249,179196,0,368856,146
3040706,1308,1,0,0.192276,2147483647,1210284,180504,0,368856,147
3050661,1308,1,0,0.193584,2147483647,1210978,181812,0,374088,148
3080033,1308,1,0,0.194892,2147483647,1240350,183120,0,376704,149
3120579,1308,1,0,0.1962,2147483647,1271635,184428,0,379320,150
3130272,1308,1,0,0.197508,2147483647,1281328,185736,0,381936,151
3160490,1308,1,0,0.198816,2147483647,1279073,187044,0,384552,152
3160599,1308,1,0,0.200124,2147483647,1279182,188352,0,387168,153
3201580,1308,1,0,0.201432,2147483647,1315612,189660,0,389784,154
3239705,1308,1,0,0.20274,2147483647,1353737,190968,0,392400,155
3239812,1308,1,0,0.204048,2147483647,1344809,192276,0,395016,156
3250695,1308,1,0,0.205356,2147483647,1355692,193584,0,397632,157
