now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B
121402160,1308,1,0,11.413608,2147483647,56222366,11401836,0,22814136
121439365,1308,1,0,11.414916,2147483647,56259571,11403144,0,22816752
121481761,1308,1,0,11.416224,2147483647,56278699,11404452,0,22819368
121481870,1308,1,0,11.417532,2147483647,56278808,11405760,0,22821984
121517637,1308,1,0,11.41884,2147483647,56311044,11407068,0,22824600
121517747,1308,1,0,11.420148,2147483647,56311154,11408376,0,22827216
121556696,1308,1,0,11.421456,2147483647,56343043,11409684,0,22829832
121556803,1308,1,0,11.422763999999999,2147483647,56343150,11410992,0,22832448
121597073,1308,1,0,11.424071999999999,2147483647,56376362,11412300,0,22835064
121597201,1308,1,0,11.425379999999999,2147483647,56376490,11413608,0,22837680
121597257,1308,1,0,11.426687999999999,2147483647,56369490,11414916,0,22840296
121641163,1308,1,0,11.427996,2147483647,56413396,11416224,0,22842912
121641274,1308,1,0,11.429304,2147483647,56402640,11417532,0,22845528
121681256,1308,1,0,11.430612,2147483647,56442622,11418840,0,22848144
121681368,1308,1,0,11.43192,2147483647,56439206,11420148,0,22850760
121681420,1308,1,0,11.433228,2147483647,56439258,11421456,0,22853376
121717221,1308,1,0,11.434536,2147483647,56468004,11422764,0,22855992
121717331,1308,1,0,11.435844,2147483647,56468114,11424072,0,22858608
121717385,1308,1,0,11.437152,2147483647,56461113,11425380,0,22861224
121757708,1308,1,0,11.43846,2147483647,56501436,11426688,0,22863840
121757819,1308,1,0,11.439767999999999,2147483647,56475588,11427996,0,22866456
121757871,1308,1,0,11.441075999999999,2147483647,56475640,11429304,0,22869072
121798520,1308,1,0,11.442383999999999,2147483647,56512762,11430612,0,22871688
121798631,1308,1,0,11.443691999999999,2147483647,56512873,11431920,0,22874304
121798683,1308,1,0,11.445,2147483647,56505874,11433228,0,22876920
121843368,1308,1,0,11.446308,2147483647,56550559,11434536,0,22879536
121879769,1308,1,0,11.447616,2147483647,56579910,11435844,0,22882152
121879877,1308,1,0,11.448924,2147483647,56580018,11437152,0,22884768
121921169,1308,1,0,11.450232,2147483647,56601846,11438460,0,22887384
121921279,1308,1,0,11.45154,2147483647,56601956,11439768,0,22890000
121921332,1308,1,0,11.452848,2147483647,56598484,11441076,0,22892616
121957139,1308,1,0,11.454156,2147483647,56634291,11442384,0,22895232
121957249,1308,1,0,11.455464,2147483647,56627352,11443692,0,22897848
121996350,1308,1,0,11.456771999999999,2147483647,56666453,11445000,0,22900464
121996462,1308,1,0,11.458079999999999,2147483647,56659517,11446308,0,22903080
121996514,1308,1,0,11.459387999999999,2147483647,56659569,11447616,0,22905696
122039728,1308,1,0,11.460695999999999,2147483647,56680346,11448924,0,22908312
122039837,1308,1,0,11.462004,2147483647,56680455,11450232,0,22910928
122041770,1308,1,0,11.463312,2147483647,56678865,11451540,0,22913544
122081062,1308,1,0,11.46462,2147483647,56718157,11452848,0,22916160
122081173,1308,1,0,11.465928,2147483647,56711222,11454156,0,22918776
122081517,1308,1,0,11.467236,2147483647,56711566,11455464,0,22921392
122121775,1308,1,0,11.468544,2147483647,56744779,11456772,0,22924008
122157250,1308,1,0,11.469852,2147483647,56780254,11458080,0,22926624
122157359,1308,1,0,11.47116,2147483647,56773319,11459388,0,22929240
122196749,1308,1,0,11.472468,2147483647,56812709,11460696,0,22931856
122196861,1308,1,0,11.473775999999999,2147483647,56795496,11462004,0,22934472
122239032,1308,1,0,11.475083999999999,2147483647,56837667,11463312,0,22937088
122239138,1308,1,0,11.476391999999999,2147483647,56834252,11464620,0,22939704
122282188,1308,1,0,11.477699999999999,2147483647,56877302,11465928,0,22942320
122282299,1308,1,0,11.479008,2147483647,56870369,11467236,0,22944936
122317574,1308,1,0,11.480316,2147483647,56905644,11468544,0,22947552
122317684,1308,1,0,11.481624,2147483647,56898714,11469852,0,22950168
122356885,1308,1,0,11.482932,2147483647,56937915,11471160,0,22952784
122356995,2616,1,0,11.48424,2147483647,56916750,11473776,0,22955400
122357047,1308,1,0,11.486856,2147483647,56913282,11475084,0,22958016
122397034,1308,1,0,11.488164,2147483647,56953269,11476392,0,22963248
122397144,1308,1,0,11.489472,2147483647,56946339,11477700,0,22965864
122397195,1308,1,0,11.490779999999999,2147483647,56946390,11479008,0,22968480
122440292,1308,1,0,11.492087999999999,2147483647,56982447,11480316,0,22971096
122440410,1308,1,0,11.493395999999999,2147483647,56982565,11481624,0,22973712
122481739,1308,1,0,11.494703999999999,2147483647,56999989,11482932,0,22976328
122481847,1308,1,0,11.496012,2147483647,57000097,11484240,0,22978944
122520932,1308,1,0,11.49732,2147483647,57035663,11485548,0,22981560
122521039,1308,1,0,11.498628,2147483647,57035770,11486856,0,22984176
122557112,1308,1,0,11.499936,2147483647,57064804,11488164,0,22986792
122557221,1308,1,0,11.501244,2147483647,57064913,11489472,0,22989408
122557274,1308,1,0,11.502552,2147483647,57057930,11490780,0,22992024
122597497,1308,1,0,11.50386,2147483647,57098153,11492088,0,22994640
