now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B
0,1308,1,0,0.01308,2147483647,717412,1308,0,13080
39783,1308,1,0,0.014388,2147483647,757195,2616,0,15696
79098,1308,1,0,0.015695999999999998,2147483647,796487,3924,0,18312
119080,1308,1,0,0.017004,2147483647,836469,5232,0,20928
159457,1308,1,0,0.018312,2147483647,876737,6540,0,23544
199933,1308,1,0,0.01962,2147483647,917213,7848,0,26160
239103,1308,1,0,0.020928,2147483647,956383,9156,0,28776
279607,1308,1,0,0.022236,2147483647,996887,10464,0,31392
319935,1308,1,0,0.023544,2147483647,1037116,11772,0,34008
359049,1308,1,0,0.024852,2147483647,1076230,13080,0,36624
682321,1308,1,0,0.02616,2147483647,682249,14388,0,39240
721808,1308,1,0,0.027468,2147483647,721736,15696,0,41856
760104,1308,1,0,0.028776,2147483647,720247,17004,0,44472
799889,1308,1,0,0.030084,2147483647,760032,18312,0,47088
842660,1308,1,0,0.031391999999999996,2147483647,753768,19620,0,49704
881835,1308,1,0,0.0327,2147483647,792943,20928,0,52320
919662,1308,1,0,0.034008,2147483647,776474,22236,0,54936
960030,1308,1,0,0.035316,2147483647,816842,23544,0,57552
1002297,2616,1,0,0.036624,2147483647,807524,26160,0,60168
1039708,1308,1,0,0.03924,2147483647,795502,27468,0,65400
1081863,1308,1,0,0.040548,2147483647,837657,28776,0,68016
1122586,2616,1,0,0.041856,2147483647,830664,31392,0,70632
1159928,2616,1,0,0.044472,2147483647,821677,34008,0,75864
1202139,1308,1,0,0.047088,2147483647,818680,35316,0,81096
1242612,1308,1,0,0.048395999999999995,2147483647,859153,36624,0,83712
1282307,1308,1,0,0.049704,2147483647,854550,37932,0,86328
1322897,1308,1,0,0.051011999999999995,2147483647,895140,39240,0,88944
1360067,1308,1,0,0.05232,2147483647,677671,40548,0,91560
1402507,1308,1,0,0.053627999999999995,2147483647,720111,41856,0,94176
1442063,1308,1,0,0.054936,2147483647,720183,43164,0,96792
1482220,1308,1,0,0.056243999999999995,2147483647,760340,44472,0,99408
1521704,1308,1,0,0.057552,2147483647,761529,45780,0,102024
1559239,1308,1,0,0.058859999999999996,2147483647,799064,47088,0,104640
1601510,1308,1,0,0.060168,2147483647,801548,48396,0,107256
1639157,1308,1,0,0.061475999999999996,2147483647,839195,49704,0,109872
1681802,1308,1,0,0.06278399999999999,2147483647,839070,51012,0,112488
1719400,1308,1,0,0.064092,2147483647,876668,52320,0,115104
1762982,1308,1,0,0.0654,2147483647,881071,53628,0,117720
1802985,1308,1,0,0.066708,2147483647,921074,54936,0,120336
1839351,2616,1,0,0.068016,2147483647,919618,57552,0,122952
1878876,1308,1,0,0.070632,2147483647,918773,58860,0,128184
1919642,1308,1,0,0.07193999999999999,2147483647,959539,60168,0,130800
1962333,1308,1,0,0.073248,2147483647,959962,61476,0,133416
1999937,1308,1,0,0.074556,2147483647,997566,62784,0,136032
2039830,2616,1,0,0.075864,2147483647,1024093,65400,0,138648
2082208,1308,1,0,0.07848,2147483647,1039739,66708,0,143880
2119157,1308,1,0,0.079788,2147483647,1076688,68016,0,146496
