now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B
0,1308,1,0,0.01308,2147483647,715951,1308,0,13080
39669,1308,1,0,0.014388,2147483647,755620,2616,0,15696
80067,1308,1,0,0.015695999999999998,2147483647,795995,3924,0,18312
119301,1308,1,0,0.017004,2147483647,835229,5232,0,20928
160030,1308,1,0,0.018312,2147483647,875845,6540,0,23544
200824,1308,1,0,0.01962,2147483647,916639,7848,0,26160
239994,1308,1,0,0.020928,2147483647,955809,9156,0,28776
279543,1308,1,0,0.022236,2147483647,995358,10464,0,31392
320194,1308,1,0,0.023544,2147483647,1035908,11772,0,34008
359987,1308,1,0,0.024852,2147483647,1075701,13080,0,36624
679894,1308,1,0,0.02616,2147483647,679823,14388,0,39240
721538,1308,1,0,0.027468,2147483647,721467,15696,0,41856
760733,1308,1,0,0.028776,2147483647,720990,17004,0,44472
799689,1308,1,0,0.030084,2147483647,759946,18312,0,47088
839762,1308,1,0,0.031391999999999996,2147483647,750802,19620,0,49704
880246,1308,1,0,0.0327,2147483647,791286,20928,0,52320
921622,1308,1,0,0.034008,2147483647,778342,22236,0,54936
959557,1308,1,0,0.035316,2147483647,816277,23544,0,57552
999222,1308,1,0,0.036624,2147483647,804349,24852,0,60168
1039811,1308,1,0,0.037932,2147483647,844938,26160,0,62784
1083149,1308,1,0,0.03924,2147483647,838843,27468,0,65400
1119569,1308,1,0,0.040548,2147483647,875263,28776,0,68016
1160359,1308,1,0,0.041856,2147483647,868341,30084,0,70632
1199926,1308,1,0,0.043164,2147483647,907908,31392,0,73248
1239976,1308,1,0,0.044472,2147483647,901638,32700,0,75864
1279731,1308,1,0,0.04578,2147483647,941393,34008,0,78480
1319999,1308,1,0,0.047088,2147483647,936471,35316,0,81096
1361555,1308,1,0,0.048395999999999995,2147483647,978027,36624,0,83712
1399850,1308,1,0,0.049704,2147483647,972046,37932,0,86328
1440820,1308,1,0,0.051011999999999995,2147483647,1013016,39240,0,88944
1480008,1308,1,0,0.05232,2147483647,800042,40548,0,91560
1519866,1308,1,0,0.053627999999999995,2147483647,839900,41856,0,94176
1560649,1308,1,0,0.054936,2147483647,839036,43164,0,96792
1600052,1308,1,0,0.056243999999999995,2147483647,878439,44472,0,99408
1639138,1308,1,0,0.057552,2147483647,878334,45780,0,102024
1680390,1308,1,0,0.058859999999999996,2147483647,919586,47088,0,104640
1719299,1308,1,0,0.060168,2147483647,919537,48396,0,107256
1759415,1308,1,0,0.061475999999999996,2147483647,959653,49704,0,109872
1801593,1308,1,0,0.06278399999999999,2147483647,961759,51012,0,112488
1840584,1308,1,0,0.064092,2147483647,1000750,52320,0,115104
1880321,1308,1,0,0.0654,2147483647,1000002,53628,0,117720
1920015,1308,1,0,0.066708,2147483647,1039696,54936,0,120336
1960379,1308,1,0,0.068016,2147483647,1038687,56244,0,122952
1999768,1308,1,0,0.069324,2147483647,1078076,57552,0,125568
2039654,1308,1,0,0.070632,2147483647,1080025,58860,0,128184
2080647,1308,1,0,0.07193999999999999,2147483647,1121018,60168,0,130800
2120035,1308,1,0,0.073248,2147483647,1120738,61476,0,133416
2159222,1308,1,0,0.074556,2147483647,1159925,62784,0,136032
2200228,1308,1,0,0.075864,2147483647,1160346,64092,0,138648
2239489,1308,1,0,0.07717199999999999,2147483647,1199607,65400,0,141264
2280483,1308,1,0,0.07848,2147483647,1197262,66708,0,143880
2319362,1308,1,0,0.079788,2147483647,1236141,68016,0,146496
2360042,1308,1,0,0.081096,2147483647,1240399,69324,0,149112
2400593,1308,1,0,0.08240399999999999,2147483647,1280950,70632,0,151728
2439934,1308,1,0,0.083712,2147483647,1279505,71940,0,154344
2440049,1308,1,0,0.08502,2147483647,1279620,73248,0,156960
2480494,1308,1,0,0.086328,2147483647,1280496,74556,0,159576
2523370,1308,1,0,0.08763599999999999,2147483647,1323372,75864,0,162192
2523543,1308,1,0,0.088944,2147483647,1283498,77172,0,164808
2560610,1308,1,0,0.090252,2147483647,1320565,78480,0,167424
2600332,1308,1,0,0.09156,2147483647,1320527,79788,0,170040
2600446,1308,1,0,0.09286799999999999,2147483647,1320641,81096,0,172656
2639717,1308,1,0,0.094176,2147483647,1319645,82404,0,175272
2683349,1308,1,0,0.095484,2147483647,1363277,83712,0,177888
2683467,1308,1,0,0.09679199999999999,2147483647,1321841,85020,0,180504
2721653,1308,1,0,0.09809999999999999,2147483647,1360027,86328,0,183120
2763189,2616,1,0,0.099408,2147483647,1363269,88944,0,185736
2763317,1308,1,0,0.10202399999999999,2147483647,1322423,90252,0,190968
2802285,1308,1,0,0.103332,2147483647,1361391,91560,0,193584
2802394,2616,1,0,0.10464,2147483647,1322316,94176,0,196200
2840224,1308,1,0,0.10725599999999999,2147483647,1320286,95484,0,201432
2881845,1308,1,0,0.108564,2147483647,1361907,96792,0,204048
2881963,1308,1,0,0.109872,2147483647,1321242,98100,0,206664
2920129,1308,1,0,0.11118,2147483647,1359408,99408,0,209280
2960538,1308,1,0,0.11248799999999999,2147483647,1360413,100716,0,211896
2960656,1308,1,0,0.113796,2147483647,1360531,102024,0,214512
3000603,1308,1,0,0.115104,2147483647,1361392,103332,0,217128
3040600,1308,1,0,0.116412,2147483647,1401389,104640,0,219744
3040719,1308,1,0,0.11771999999999999,2147483647,1360256,105948,0,222360
3040768,1308,1,0,0.119028,2147483647,1360305,107256,0,224976
3079975,1308,1,0,0.120336,2147483647,1360604,108564,0,227592
3080093,1308,1,0,0.12164399999999999,2147483647,1360722,109872,0,230208
3080143,1308,1,0,0.12295199999999999,2147483647,1320655,111180,0,232824
3119930,1308,1,0,0.12426,2147483647,1360442,112488,0,235440
3120011,1308,1,0,0.12556799999999999,2147483647,1318348,113796,0,238056
3159560,1308,1,0,0.126876,2147483647,1357897,115104,0,240672
3159678,1308,1,0,0.128184,2147483647,1319021,116412,0,243288
3159727,1308,1,0,0.129492,2147483647,1319070,117720,0,245904
3202582,1308,1,0,0.1308,2147483647,1322189,119028,0,248520
3202697,1308,1,0,0.132108,2147483647,1322304,120336,0,251136
3202747,1308,1,0,0.133416,2147483647,1282657,121644,0,253752
3242887,1308,1,0,0.13472399999999998,2147483647,1322797,122952,0,256368
3243005,1308,1,0,0.136032,2147483647,1282553,124260,0,258984
3243053,1308,1,0,0.13734,2147483647,1282601,125568,0,261600
3280848,1308,1,0,0.138648,2147483647,1281005,126876,0,264216
3280964,1308,1,0,0.139956,2147483647,1281121,128184,0,266832
3320636,1308,1,0,0.141264,2147483647,1280911,129492,0,269448
3320755,1308,1,0,0.142572,2147483647,1281030,130800,0,272064
3320805,1308,1,0,0.14387999999999998,2147483647,1240084,132108,0,274680
3362934,1308,1,0,0.14518799999999998,2147483647,1282213,133416,0,277296
3363053,1308,1,0,0.146496,2147483647,1242945,134724,0,279912
3363102,1308,1,0,0.147804,2147483647,1242994,136032,0,282528
3403208,1308,1,0,0.149112,2147483647,1243914,137340,0,285144
3403325,1308,1,0,0.15042,2147483647,1244031,138648,0,287760
3440413,2616,1,0,0.151728,2147483647,1240113,141264,0,290376
3440541,1308,1,0,0.15434399999999998,2147483647,1200979,142572,0,295608
3440580,1308,1,0,0.15565199999999998,2147483647,1201018,143880,0,295608
3479366,1308,1,0,0.15696,2147483647,1198808,145188,0,300840
3479480,1308,1,0,0.158268,2147483647,1198922,146496,0,303456
3479557,1308,1,0,0.159576,2147483647,1160121,147804,0,306072
3520179,1308,1,0,0.160884,2147483647,1200743,149112,0,308688
3520296,1308,1,0,0.162192,2147483647,1160183,150420,0,311304
3520347,1308,1,0,0.1635,2147483647,1160234,151728,0,313920
3562921,1308,1,0,0.16480799999999998,2147483647,1162252,153036,0,316536
3563038,1308,1,0,0.16611599999999999,2147483647,1162369,154344,0,319152
3599863,1308,1,0,0.167424,2147483647,1159857,155652,0,321768
3599985,1308,1,0,0.168732,2147483647,1159979,156960,0,324384
3600035,2616,1,0,0.17004,2147483647,1151122,159576,0,327000
3639435,1308,1,0,0.172656,2147483647,1158868,160884,0,332232
3639549,1308,1,0,0.17396399999999998,2147483647,1158982,162192,0,334848
3639600,1308,1,0,0.17527199999999998,2147483647,1116153,163500,0,337464
3680483,1308,1,0,0.17658,2147483647,1157036,164808,0,340080
3680602,1308,1,0,0.177888,2147483647,1148305,166116,0,342696
3722308,1308,1,0,0.179196,2147483647,1190011,167424,0,345312
3722425,1308,1,0,0.180504,2147483647,1161739,168732,0,347928
3722476,1308,1,0,0.181812,2147483647,1161790,170040,0,350544
3762735,2616,1,0,0.18312,2147483647,1162332,172656,0,353160
3762863,1308,1,0,0.18573599999999998,2147483647,1153736,173964,0,358392
3762902,1308,1,0,0.187044,2147483647,1153775,175272,0,358392
3800190,1308,1,0,0.188352,2147483647,1160402,176580,0,363624
3800294,1308,1,0,0.18966,2147483647,1160506,177888,0,366240
3800346,1308,1,0,0.190968,2147483647,1116922,179196,0,368856
3839258,1308,1,0,0.192276,2147483647,1155834,180504,0,371472
3839772,1308,1,0,0.19358399999999998,2147483647,1147760,181812,0,374088
3880414,1308,1,0,0.19489199999999998,2147483647,1188402,183120,0,376704
3880534,1308,1,0,0.19619999999999999,2147483647,1158807,184428,0,379320
3880586,1308,1,0,0.197508,2147483647,1158859,185736,0,381936
3919996,1308,1,0,0.198816,2147483647,1156733,187044,0,384552
3920100,1308,1,0,0.200124,2147483647,1156837,188352,0,387168
3920153,1308,1,0,0.201432,2147483647,1148575,189660,0,389784
3963125,1308,1,0,0.20274,2147483647,1191547,190968,0,392400
3963234,1308,1,0,0.20404799999999998,2147483647,1175026,192276,0,395016
4000793,1308,1,0,0.20535599999999998,2147483647,1212585,193584,0,397632
4000897,1308,1,0,0.206664,2147483647,1196230,194892,0,400248
4000947,1308,1,0,0.207972,2147483647,1196280,196200,0,402864
4040886,1308,1,0,0.20928,2147483647,1219870,197508,0,405480
4040994,1308,1,0,0.210588,2147483647,1219978,198816,0,408096
4041046,1308,1,0,0.211896,2147483647,1204058,200124,0,410712
4082960,1308,1,0,0.21320399999999998,2147483647,1245972,201432,0,413328
4083067,1308,1,0,0.21451199999999998,2147483647,1230107,202740,0,415944
4083116,1308,1,0,0.21581999999999998,2147483647,1230156,204048,0,418560
4120323,1308,1,0,0.217128,2147483647,1238405,205356,0,421176
4120436,1308,1,0,0.218436,2147483647,1238518,206664,0,423792
4164523,1308,1,0,0.219744,2147483647,1274763,207972,0,426408
4164628,1308,1,0,0.221052,2147483647,1274868,209280,0,429024
4164703,1308,1,0,0.22236,2147483647,1244499,210588,0,431640
4202999,1308,1,0,0.22366799999999998,2147483647,1282795,211896,0,434256
4203108,1308,1,0,0.22497599999999998,2147483647,1242495,213204,0,436872
4203159,1308,1,0,0.22628399999999999,2147483647,1242546,214512,0,439488
4243394,1308,1,0,0.227592,2147483647,1275151,215820,0,442104
4243497,1308,1,0,0.2289,2147483647,1275254,217128,0,444720
4283073,1308,1,0,0.230208,2147483647,1282398,218436,0,447336
4283175,1308,1,0,0.231516,2147483647,1282500,219744,0,449952
4283229,1308,1,0,0.232824,2147483647,1242555,221052,0,452568
4319761,1308,1,0,0.23413199999999998,2147483647,1279087,222360,0,455184
4319868,1308,1,0,0.23543999999999998,2147483647,1271729,223668,0,457800
4319929,1308,1,0,0.236748,2147483647,1271790,224976,0,460416
4359842,1308,1,0,0.238056,2147483647,1296913,226284,0,463032
4360726,1308,1,0,0.239364,2147483647,1297797,227592,0,465648
4360810,1308,1,0,0.240672,2147483647,1280761,228900,0,468264
4402387,1308,1,0,0.24198,2147483647,1322338,230208,0,470880
4402819,1308,1,0,0.24328799999999998,2147483647,1310734,231516,0,473496
4440975,1308,1,0,0.24459599999999998,2147483647,1348890,232824,0,476112
4441082,1308,1,0,0.24590399999999998,2147483647,1334628,234132,0,478728
4441135,1308,1,0,0.247212,2147483647,1334681,235440,0,481344
4480801,1308,1,0,0.24852,2147483647,1360169,236748,0,483960
4480906,1308,1,0,0.249828,2147483647,1360274,238056,0,486576
4480959,1308,1,0,0.25113599999999997,2147483647,1346278,239364,0,489192
4523300,1308,1,0,0.252444,2147483647,1388619,240672,0,491808
4523408,1308,1,0,0.253752,2147483647,1363775,241980,0,494424
4560629,1308,1,0,0.25506,2147483647,1400996,243288,0,497040
4560733,1308,1,0,0.256368,2147483647,1394230,244596,0,499656
4560786,1308,1,0,0.25767599999999996,2147483647,1394283,245904,0,502272
4599399,1308,1,0,0.258984,2147483647,1419330,247212,0,504888
4599510,1308,1,0,0.26029199999999997,2147483647,1419441,248520,0,507504
4599572,1308,1,0,0.2616,2147483647,1396919,249828,0,510120
4639845,1308,1,0,0.262908,2147483647,1437192,251136,0,512736
4639952,1308,1,0,0.264216,2147483647,1430677,252444,0,515352
4640002,1308,1,0,0.265524,2147483647,1430727,253752,0,517968
4680599,1308,1,0,0.266832,2147483647,1458227,255060,0,520584
4680712,1308,1,0,0.26814,2147483647,1458340,256368,0,523200
4719600,1308,1,0,0.26944799999999997,2147483647,1476638,257676,0,525816
4719704,1308,1,0,0.270756,2147483647,1476742,258984,0,528432
4719757,1308,1,0,0.272064,2147483647,1470408,260292,0,531048
4759373,1308,1,0,0.273372,2147483647,1510024,261600,0,533664
4759728,1308,1,0,0.27468,2147483647,1497782,262908,0,536280
4759816,1308,1,0,0.275988,2147483647,1497870,264216,0,538896
4800166,1308,1,0,0.277296,2147483647,1519246,265524,0,541512
4800270,1308,1,0,0.27860399999999996,2147483647,1519350,266832,0,544128
4840756,1308,1,0,0.279912,2147483647,1553700,268140,0,546744
4840861,1308,1,0,0.28121999999999997,2147483647,1553805,269448,0,549360
4840917,1308,1,0,0.282528,2147483647,1520207,270756,0,551976
