now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
0,1308,1308,670061,0,0,2,0,0,0,228387744,41106
39840,2616,1308,709901,1,670061,3,0,0,1,228390360,44920
79723,3924,1308,749779,2,709901,4,0,0,1,228392976,48350
119704,5232,1308,789760,3,749784,5,0,0,1,228395592,51384
160269,6540,1308,830290,4,789765,6,0,0,1,228398208,54032
199962,7848,1308,869983,5,830330,7,0,0,1,228400824,56308
239707,9156,1308,909650,6,870023,8,0,0,1,228403440,58253
280691,10464,1308,950634,7,909768,9,0,0,1,228406056,59902
319129,11772,1308,989072,8,950752,10,0,0,1,228408672,61277
359968,13080,1308,1029911,9,989190,11,0,0,1,228411288,62440
599863,14388,1308,599832,10,1030029,12,0,0,1,228413904,63398
639472,15696,1308,639441,10,670092,13,0,0,0,228415212,68921
678952,17004,1308,639066,11,670092,14,0,0,0,228417828,74034
720528,18312,1308,680642,11,709947,15,0,0,0,228420444,79159
760595,19620,1308,677341,12,709947,16,0,0,0,228423060,83694
799861,20928,1308,716607,12,753310,17,0,0,0,228425676,88252
839969,22236,1308,705804,13,753310,18,0,0,0,228428292,92163
879551,23544,1308,745386,13,804221,19,0,0,0,228430908,96232
921441,24852,1308,738860,14,804221,20,0,0,0,228433524,99603
959306,26160,1308,776725,14,852602,21,0,0,0,228436140,103099
1959856,58860,1308,1080249,26,1039702,46,0,0,0,228471456,49963
1999099,60168,1308,1077605,27,1080305,47,0,0,0,228472764,49066
2040763,61476,1308,1119269,27,1077658,48,0,0,0,228474072,48324
2079251,62784,1308,1119874,28,1119322,49,0,0,0,228475380,47442
2119704,64092,1308,1160327,28,1119945,50,0,0,0,228476688,46693
2160192,65400,1308,1160298,29,1160398,51,0,0,0,228477996,45831
2160282,66708,1308,1120348,29,1160338,52,0,0,0,228479304,45101
2200121,68016,1308,1120814,29,1120391,53,0,0,0,228480612,44693
2238890,69324,1308,1118899,29,1120853,54,0,0,0,228480612,44339
2238966,70632,1308,1079081,29,1118942,55,0,0,0,228483228,44044
2280789,71940,1308,1081046,29,1079120,56,0,0,0,228483228,43993
2320373,73248,1308,1080676,29,1081090,57,0,0,0,228485844,43938
2320469,74556,1308,1040406,29,1080715,58,0,0,0,228488460,45355
2360278,75864,1308,1041076,29,1040448,59,0,0,0,228488460,45527
2400431,77172,1308,1040397,29,1041116,60,0,0,0,228491076,45675
2400530,78480,1308,1000759,29,1040440,61,0,0,0,228491076,45809
2440725,79788,1308,1001257,29,1000802,62,0,0,0,228493692,46142
2479735,81096,1308,1000519,29,1001297,63,0,0,0,228493692,46435
2480292,82404,1308,960975,29,1000558,64,0,0,0,228496308,46699
2519356,83712,1308,960156,29,961014,65,0,0,0,228496308,47157
2519463,85020,1308,919614,29,960199,66,0,0,0,228498924,47570
2560477,86328,1308,919727,29,919653,67,0,0,0,228498924,48178
2599738,87636,1308,920743,29,920185,68,0,0,0,228501540,48722
2599805,88944,1308,880086,29,920808,69,0,0,0,228501540,49202
2639839,90252,1308,920120,29,959070,70,0,0,0,228504156,49888
2678914,91560,1308,920193,30,959070,71,0,0,0,228504156,50244
2679067,92868,1308,879051,30,958804,72,0,0,0,228506772,52189
2720676,94176,1308,879873,30,1000099,73,0,0,0,228509388,52760
2759764,95484,1308,880249,30,1000782,74,0,0,0,228509388,53265
2759847,96792,1308,840554,30,1039494,75,0,0,0,228512004,53711
2798454,98100,1308,838543,30,1039686,76,0,0,0,228513312,54399
2839675,99408,1308,840523,30,1080304,77,0,0,0,228513312,55030
2839761,100716,1308,798942,30,1077658,78,0,0,0,228515928,55580
2879872,102024,1308,800568,30,1119325,79,0,0,0,228515928,56397
2919069,103332,1308,799328,30,1119927,80,0,0,0,228518544,57119
2919135,104640,1308,758887,30,1160364,81,0,0,0,228518544,57776
2959411,105948,1308,784663,30,1160354,82,0,0,0,228521160,60543
2959493,107256,1308,720564,30,1134814,83,0,0,0,228523776,61176
2998373,108564,1308,759444,29,1118938,84,0,0,0,228523776,62337
3037727,109872,1308,756883,30,1118938,85,0,0,0,228526392,63014
3038052,111180,1308,757208,29,1081101,86,0,0,0,228526392,63644
3080657,112488,1308,752492,30,1081101,87,0,0,0,228529008,64203
3119793,113796,1308,791628,30,1088468,88,0,0,0,228529008,64747
3119875,115104,1308,734031,31,1088468,89,0,0,0,228531624,64832
3159027,116412,1308,773183,30,1066642,90,0,0,0,228534240,67482
3198806,117720,1308,755688,31,1066642,91,0,0,0,228534240,67670
3198890,119028,1308,755772,30,1043347,92,0,0,0,228536856,68025
3239921,120336,1308,740109,31,1043347,93,0,0,0,228536856,68338
3279194,121644,1308,779382,30,1020596,94,0,0,0,228539472,68788
3279260,122952,1308,723429,31,1020596,95,0,0,0,228539472,68748
3319711,124260,1308,763880,30,996631,96,0,0,0,228542088,69338
3359338,125568,1308,748515,31,996631,97,0,0,0,228544704,71444
3359420,126876,1308,748597,30,970073,98,0,0,0,228546012,71682
3400311,128184,1308,735795,31,970073,99,0,0,0,228546012,71891
3400403,129492,1308,735887,30,944797,100,0,0,0,228548628,72226
3439903,130800,1308,722950,31,944797,101,0,0,0,228548628,72520
3478341,132108,1308,761388,30,958232,102,0,0,0,228551244,72936
3478435,133416,1308,711356,31,958232,103,0,0,0,228553860,74918
3519281,134724,1308,752202,31,967063,104,0,0,0,228553860,75455
3560354,136032,1308,743692,32,967063,105,0,0,0,228556476,75412
3560442,137340,1308,743780,31,937147,106,0,0,0,228557784,75483
3600554,138648,1308,735187,32,937147,107,0,0,0,228557784,75543
3639453,139956,1308,750042,32,946074,108,0,0,0,228560400,77808
3639543,141264,1308,750132,31,890259,109,0,0,0,228563016,77761
3679688,142572,1308,743209,32,890259,110,0,0,0,228563016,77718
3719235,143880,1308,782756,31,857175,111,0,0,0,228565632,77770
3719330,145188,1308,737052,32,857175,112,0,0,0,228566940,77304
3759992,146496,1308,777714,31,822030,113,0,0,0,228569556,79582
3800137,147804,1308,774650,32,840857,114,0,0,0,228569556,79209
3800210,149112,1308,774723,32,850739,115,0,0,0,228572172,78925
3839032,150420,1308,770783,33,850739,116,0,0,0,228572172,78678
3839124,151728,1308,770875,32,840659,117,0,0,0,228574788,78513
3879942,153036,1308,770179,33,840751,118,0,0,0,228577404,80431
3920177,154344,1308,810414,32,841890,119,0,0,0,228578712,80311
3959850,155652,1308,809341,33,882125,120,0,0,0,228580020,79681
3999780,156960,1308,849271,32,840057,121,0,0,0,228581328,79152
3999875,158268,1308,809016,33,879987,122,0,0,0,228583944,80198
4039179,159576,1308,848320,33,880000,123,0,0,0,228583944,79864
4039272,160884,1308,809647,34,919304,124,0,0,0,228586560,79082
4079613,162192,1308,849988,33,840466,125,0,0,0,228586560,78886
4119721,163500,1308,851639,34,880807,126,0,0,0,228589176,80177
4119805,164808,1308,851723,33,879800,127,0,0,0,228591792,79570
4159167,166116,1308,853055,34,879884,128,0,0,0,228591792,79045
4199919,167424,1308,893807,33,879907,129,0,0,0,228594408,78576
4200013,168732,1308,856173,34,920659,130,0,0,0,228597024,79583
4239235,170040,1308,895395,34,880302,131,0,0,0,228597024,79251
4278677,171348,1308,898221,35,919524,132,0,0,0,228599640,78501
4278770,172656,1308,878405,35,919339,133,0,0,0,228602256,79677
4319703,173964,1308,919338,34,878459,134,0,0,0,228602256,79310
4359399,175272,1308,919444,35,919392,135,0,0,0,228604872,78522
4359490,176580,1308,919535,34,919496,136,0,0,0,228607488,79654
4399313,177888,1308,920917,35,919587,137,0,0,0,228607488,79055
4439558,179196,1308,961162,35,920972,138,0,0,0,228610104,78524
4439647,180504,1308,920311,36,961217,139,0,0,0,228611412,79387
4479026,181812,1308,959690,35,920366,140,0,0,0,228614028,79047
4479087,183120,1308,918680,36,959745,141,0,0,0,228614028,78322
4519765,184428,1308,919161,36,918733,142,0,0,0,228616644,78139
4560550,185736,1308,959946,35,919211,143,0,0,0,228619260,79708
4560641,187044,1308,921136,36,959996,144,0,0,0,228620568,79117
4599534,188352,1308,960029,36,921188,145,0,0,0,228623184,80742
4639597,189660,1308,959814,37,960081,146,0,0,0,228623184,80233
4639689,190968,1308,959906,36,959909,147,0,0,0,228625800,79795
4678996,192276,1308,959701,37,960001,148,0,0,0,228628416,81105
4679694,193584,1308,951939,37,959761,149,0,0,0,228628416,80770
4719643,194892,1308,991888,37,960364,150,0,0,0,228631032,80563
4719740,196200,1308,919567,38,1000313,151,0,0,0,228633648,81623
4759448,197508,1308,959275,37,919603,152,0,0,0,228633648,81870
4759544,198816,1308,920459,38,959311,153,0,0,0,228636264,81654
4800039,200124,1308,960954,37,920512,154,0,0,0,228638880,83558
4800230,201432,1308,944485,38,961007,155,0,0,0,228638880,83317
4839129,202740,1308,983384,38,961106,156,0,0,0,228641496,83289
4839215,204048,1308,950946,39,1000005,157,0,0,0,228644112,84494
4879141,205356,1308,958907,39,959273,158,0,0,0,228644112,84454
4879235,206664,1308,919334,39,958964,159,0,0,0,228646728,84331
4879273,207972,1308,879438,39,919385,160,0,0,0,228649344,86324
4919310,209280,1308,919475,39,879493,161,0,0,0,228649344,87085
4919397,210588,1308,880162,40,919530,162,0,0,0,228651960,87292
4958777,211896,1308,919542,39,880218,163,0,0,0,228654576,89627
4958876,213204,1308,879207,40,919598,164,0,0,0,228654576,89732
4999369,214512,1308,919700,39,879263,165,0,0,0,228657192,90315
4999450,215820,1308,879683,40,919756,166,0,0,0,228659808,92036
5038154,217128,1308,918387,40,879729,167,0,0,0,228659808,92554
5038241,218436,1308,879021,41,918433,168,0,0,0,228662424,92521
5079881,219744,1308,920661,40,879074,169,0,0,0,228665040,94713
5079949,221052,1308,879975,41,920714,170,0,0,0,228665040,94594
5119816,222360,1308,919842,41,893862,171,0,0,0,228667656,95019
5119901,223668,1308,880610,42,919897,172,0,0,0,228670272,96596
5160014,224976,1308,920723,41,895451,173,0,0,0,228670272,96987
5160102,226284,1308,881370,42,920779,174,0,0,0,228672888,96794
5201203,227592,1308,922471,42,898276,175,0,0,0,228675504,98886
5201287,228900,1308,881530,43,922526,176,0,0,0,228676812,98645
5201317,230208,1308,881560,42,919392,177,0,0,0,228676812,98992
5240159,231516,1308,880707,43,919392,178,0,0,0,228679428,101039
5240223,232824,1308,880771,43,919497,179,0,0,0,228682044,101324
5278977,234132,1308,879611,44,919497,180,0,0,0,228682044,101574
5279061,235440,1308,879695,43,920970,181,0,0,0,228684660,103566
5318918,236748,1308,879306,44,920970,182,0,0,0,228687276,103776
5318984,238056,1308,871134,44,961216,183,0,0,0,228687276,103966
5319032,239364,1308,871182,44,928514,184,0,0,0,228689892,106020
5359511,240672,1308,878567,45,928514,185,0,0,0,228692508,106276
5359575,241980,1308,878631,44,920537,186,0,0,0,228692508,106389
5399283,243288,1308,879466,45,920537,187,0,0,0,228695124,108263
5399593,244596,1308,879776,45,919213,188,0,0,0,228697740,108338
5399625,245904,1308,839020,46,919213,189,0,0,0,228697740,108399
5440181,247212,1308,871310,46,960001,190,0,0,0,228700356,110870
5440266,248520,1308,871395,46,929366,191,0,0,0,228702972,110972
5440299,249828,1308,800649,47,929366,192,0,0,0,228702972,111060
5480027,251136,1308,840377,46,959867,193,0,0,0,228705588,114081
5480477,252444,1308,824435,47,959867,194,0,0,0,228708204,114517
5519185,253752,1308,863143,47,976259,195,0,0,0,228709512,115168
5519267,255060,1308,830970,48,976259,196,0,0,0,228712128,116919
5519298,256368,1308,831001,47,960542,197,0,0,0,228712128,117401
5559563,257676,1308,838795,48,960542,198,0,0,0,228714744,117825
5559642,258984,1308,838874,48,993013,199,0,0,0,228717360,119908
5559675,260292,1308,800169,49,993013,200,0,0,0,228717360,120120
5599911,261600,1308,840405,48,959333,201,0,0,0,228719976,120995
5600025,262908,1308,815169,49,959333,202,0,0,0,228722592,122908
5600053,264216,1308,815197,49,945771,203,0,0,0,228722592,123414
5639631,265524,1308,823468,50,945771,204,0,0,0,228725208,123861
5639709,266832,1308,823546,49,960418,205,0,0,0,228727824,125980
5679066,268140,1308,831494,50,960418,206,0,0,0,228727824,126192
5679149,269448,1308,831577,50,991827,207,0,0,0,228730440,126227
5679675,270756,1308,800478,51,991827,208,0,0,0,228733056,128141
5719065,272064,1308,839868,50,958963,209,0,0,0,228733056,128768
5719141,273372,1308,809588,51,958963,210,0,0,0,228735672,128555
5719171,274680,1308,809618,51,949652,211,0,0,0,228738288,130852
5759233,275988,1308,819375,52,949652,212,0,0,0,228738288,131210
5759637,277296,1308,819779,51,940023,213,0,0,0,228740904,131330
5800635,278604,1308,830809,52,940023,214,0,0,0,228742212,133332
5800726,279912,1308,830900,52,930591,215,0,0,0,228744828,133195
5800758,281220,1308,801744,53,930591,216,0,0,0,228744828,133074
5839829,282528,1308,840815,52,919345,217,0,0,0,228747444,135465
5839921,283836,1308,811942,53,919345,218,0,0,0,228750060,135093
5839953,285144,1308,811974,53,948310,219,0,0,0,228750060,135359
5879287,286452,1308,822884,54,948310,220,0,0,0,228752676,137502
5879378,287760,1308,822975,53,936636,221,0,0,0,228755292,137481
5879411,289068,1308,794734,54,936636,222,0,0,0,228755292,137461
5919884,290376,1308,835207,54,925457,223,0,0,0,228757908,139953
5919978,291684,1308,807680,55,925457,224,0,0,0,228760524,139601
5959507,292992,1308,847209,54,912324,225,0,0,0,228760524,139880
5959599,294300,1308,819770,55,912324,226,0,0,0,228763140,141191
5999746,295608,1308,859917,55,939855,227,0,0,0,228765756,143162
5999844,296916,1308,832933,56,939855,228,0,0,0,228768372,142347
5999873,298224,1308,832962,55,927620,229,0,0,0,228768372,142220
6038353,300840,1308,844416,56,927620,231,0,0,0,228770988,144002
6038467,302148,1308,818075,57,915205,232,0,0,0,228774912,145545
6078721,303456,1308,845069,57,941660,233,0,0,0,228777528,145815
6078812,304764,1308,845160,56,913895,234,0,0,0,228780144,147348
6119787,306072,1308,860244,57,913895,235,0,0,0,228780144,147032
6119878,307380,1308,860335,57,900091,236,0,0,0,228782760,148303
6159726,308688,1308,874365,58,900091,237,0,0,0,228785376,147768
6159814,309996,1308,874453,57,885995,238,0,0,0,228787992,148858
6199391,311304,1308,888771,58,885995,239,0,0,0,228787992,148179
6199484,312612,1308,888864,58,920330,240,0,0,0,228790608,149121
6238285,313920,1308,902457,59,920423,241,0,0,0,228793224,148332
6238377,315228,1308,902549,58,919301,242,0,0,0,228795840,149177
6279580,316536,1308,919077,59,919393,243,0,0,0,228795840,148322
6279671,317844,1308,919168,59,960548,244,0,0,0,228798456,149029
6319482,319152,1308,934364,60,960639,245,0,0,0,228801072,148076
6319572,320460,1308,934454,59,959907,246,0,0,0,228803688,148707
6319605,321768,1308,910324,60,959997,247,0,0,0,228803688,147711
6358337,323076,1308,949056,60,920322,248,0,0,0,228807612,149099
6358427,324384,1308,924999,61,959054,249,0,0,0,228808920,147978
6399126,325692,1308,965698,60,958802,250,0,0,0,228811536,149234
6399220,327000,1308,942197,61,999501,251,0,0,0,228812844,147983
6439718,328308,1308,982695,61,959039,252,0,0,0,228815460,149090
6439807,329616,1308,959210,62,999537,253,0,0,0,228816768,147744
6479716,330924,1308,999119,61,999508,254,0,0,0,228819384,148739
6479831,332232,1308,976303,62,1039417,255,0,0,0,228820692,147341
6519593,333540,1308,1016065,62,999804,256,0,0,0,228823308,148248
6519671,334848,1308,993300,63,1039566,257,0,0,0,228824616,146811
6559555,336156,1308,1021826,63,1039194,258,0,0,0,228827232,147650
6559643,337464,1308,1021914,63,1040370,259,0,0,0,228828540,146405
6599902,338772,1308,1039799,64,1040458,260,0,0,0,228831156,146946
6599994,340080,1308,1039891,63,1080604,261,0,0,0,228832464,145676
6600116,341388,1308,1017810,64,1080696,262,0,0,0,228835080,146170
6639660,342696,1308,1057354,64,1040553,263,0,0,0,228835080,145619
6639752,344004,1308,1035630,65,1080097,264,0,0,0,228837696,145993
6639789,345312,1308,1035667,64,1080077,265,0,0,0,228840312,145343
6679165,346620,1308,1053422,65,1080114,266,0,0,0,228842928,146335
6679249,347928,1308,1053506,65,1079254,267,0,0,0,228842928,145520
6720450,349236,1308,1073423,66,1079338,268,0,0,0,228845544,146353
6720559,350544,1308,1073532,65,1120397,269,0,0,0,228848160,145380
6720600,351852,1308,1052452,66,1120506,270,0,0,0,228850776,146058
6760487,353160,1308,1092339,66,1080969,271,0,0,0,228850776,145691
6760579,354468,1308,1071666,67,1120856,272,0,0,0,228853392,146182
6760617,355776,1308,1071704,66,1081513,273,0,0,0,228856008,145655
6799830,357084,1308,1090192,67,1081551,274,0,0,0,228858624,146693
6799893,358392,1308,1090255,67,1120681,275,0,0,0,228858624,145969
6799947,359700,1308,1069894,68,1120744,276,0,0,0,228861240,146824
6839351,361008,1308,1109298,67,1080882,277,0,0,0,228863856,146624
6839457,362316,1308,1089055,68,1120286,278,0,0,0,228866472,147245
6880110,363624,1308,1129708,68,1120316,279,0,0,0,228866472,146847
6880148,364932,1308,1109754,69,1160969,280,0,0,0,228869088,147268
6880161,366240,1308,1109767,68,1120915,281,0,0,0,228871704,146701
6919296,367548,1308,1128983,69,1120928,282,0,0,0,228873012,147656
6919362,368856,1308,1118674,69,1159659,283,0,0,0,228875628,146898
6919385,370164,1308,1118697,69,1118727,284,0,0,0,228878244,147850
6959703,371472,1308,1139939,70,1118750,285,0,0,0,228878244,147425
6959793,372780,1308,1140029,69,1158945,286,0,0,0,228880860,148124
6999348,374088,1308,1159464,70,1159035,287,0,0,0,228883476,147489
6999441,375396,1308,1159557,70,1159519,288,0,0,0,228886092,148026
6999474,376704,1308,1141035,71,1159612,289,0,0,0,228886092,147262
7039206,378012,1308,1180767,70,1159521,290,0,0,0,228888708,148302
7039301,379320,1308,1159961,71,1199253,291,0,0,0,228891324,147336
7039339,380628,1308,1159999,71,1160014,292,0,0,0,228893940,148221
7079242,381936,1308,1182749,72,1160052,293,0,0,0,228893940,147783
7079335,383244,1308,1182842,71,1199831,294,0,0,0,228896556,148408
7079375,384552,1308,1159436,72,1199924,295,0,0,0,228899172,147751
7119184,385860,1308,1199245,72,1159491,296,0,0,0,228901788,148923
7119250,387168,1308,1159689,73,1199300,297,0,0,0,228901788,148110
7158875,388476,1308,1199314,72,1159743,298,0,0,0,228905712,149395
7158949,389784,1308,1190124,73,1199368,299,0,0,0,228907020,148694
7158981,391092,1308,1190156,73,1199350,300,0,0,0,228909636,149579
7200163,392400,1308,1200359,74,1199382,301,0,0,0,228909636,149172
7200256,393708,1308,1200452,74,1200417,302,0,0,0,228912252,149996
7200298,395016,1308,1191305,75,1200510,303,0,0,0,228914868,149542
7238506,396324,1308,1229513,74,1200425,304,0,0,0,228917484,150625
7238552,397632,1308,1200143,75,1238633,305,0,0,0,228917484,149798
7238593,398940,1308,1200184,74,1200199,306,0,0,0,228920100,150867
7238885,400248,1308,1191489,75,1200240,307,0,0,0,228922716,150642
7279066,401556,1308,1222683,76,1200532,308,0,0,0,228925332,151905
7279126,402864,1308,1222743,76,1240599,309,0,0,0,228925332,151357
7279176,404172,1308,1200402,77,1240659,310,0,0,0,228927948,152192
7279624,405480,1308,1200850,77,1200455,311,0,0,0,228930564,152127
7279654,406788,1308,1159815,78,1200903,312,0,0,0,228930564,153374
7319708,408096,1308,1199869,77,1159867,313,0,0,0,228933180,153978
7320400,409404,1308,1191742,78,1199921,314,0,0,0,228935796,155177
7320431,410712,1308,1191773,78,1200522,315,0,0,0,228935796,155206
7320471,412020,1308,1160695,79,1200553,316,0,0,0,228935796,156547
7359559,413328,1308,1199783,79,1160745,317,0,0,0,228941028,157081
7359623,414636,1308,1160178,80,1199833,318,0,0,0,228941028,158223
7359654,415944,1308,1160209,79,1160232,319,0,0,0,228941028,158727
7359681,417252,1308,1151464,80,1160263,320,0,0,0,228941028,160496
7359707,418560,1308,1151490,80,1160197,321,0,0,0,228941028,161039
7398100,419868,1308,1159762,81,1160223,322,0,0,0,228948876,162850
7398156,421176,1308,1159818,81,1159815,323,0,0,0,228948876,163130
7398181,422484,1308,1118548,82,1159871,324,0,0,0,228948876,163374
7398199,423792,1308,1118566,81,1118601,325,0,0,0,228948876,164312
7440462,425100,1308,1152052,82,1118619,326,0,0,0,228954108,165142
7440489,426408,1308,1152079,82,1160791,327,0,0,0,228954108,165276
7440501,427716,1308,1120968,83,1160818,328,0,0,0,228954108,165392
7440509,429024,1308,1120976,83,1121019,329,0,0,0,228954108,166052
7479409,430332,1308,1151080,84,1121027,330,0,0,0,228961956,166634
7479473,431640,1308,1151144,83,1159804,331,0,0,0,228961956,166600
7479505,432948,1308,1133630,84,1159868,332,0,0,0,228961956,167933
7479633,434256,1308,1121241,85,1159900,333,0,0,0,228961956,168226
7479655,435564,1308,1116168,85,1121296,334,0,0,0,228961956,170082
7518679,436872,1308,1155192,85,1121228,335,0,0,0,228967188,170607
7518728,438180,1308,1119544,86,1160252,336,0,0,0,228967188,171712
7518773,439488,1308,1115170,86,1119602,337,0,0,0,228967188,172147
7518798,440796,1308,1115195,86,1119553,338,0,0,0,228967188,173992
7559806,442104,1308,1120035,87,1119578,339,0,0,0,228976344,174404
7559865,443412,1308,1115667,87,1120088,340,0,0,0,228976344,174672
7559888,444720,1308,1115690,87,1120058,341,0,0,0,228976344,174992
7559907,446028,1308,1080139,88,1120081,342,0,0,0,228976344,175273
7559926,447336,1308,1075720,88,1080191,343,0,0,0,228976344,176214
7599182,448644,1308,1114976,88,1080095,344,0,0,0,228981576,177133
7599239,449952,1308,1079604,89,1119351,345,0,0,0,228981576,177163
7599262,451260,1308,1075172,89,1079646,346,0,0,0,228981576,177895
7599281,452568,1308,1075191,89,1079591,347,0,0,0,228981576,178629
