now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
0,2616,1308,668358,0,0,3,0,0,0,4208796923,40887
39984,3924,1308,708338,2,668358,4,0,0,1,4208802155,48792
79837,5232,1308,748191,3,708342,5,0,0,1,4208804771,52199
117427,6540,1308,785745,4,748195,6,0,0,1,4208807387,55191
159642,7848,1308,827960,5,785785,7,0,0,1,4208810003,57803
199059,9156,1308,867327,6,828000,8,0,0,1,4208812619,60009
240183,10464,1308,908451,7,867417,9,0,0,1,4208815235,61876
279190,11772,1308,947458,8,908541,10,0,0,1,4208817851,63423
320747,13080,1308,989015,9,947548,11,0,0,1,4208820467,64713
599644,14388,1308,599594,10,989105,12,0,0,1,4208823083,65754
637375,15696,1308,637325,9,668408,13,0,0,0,4208824391,71236
677126,17004,1308,650269,10,668408,14,0,0,0,4208827007,76284
717392,18312,1308,690535,11,695215,15,0,0,0,4208829623,81152
757788,19620,1308,677315,12,717392,16,0,0,0,4208832239,85413
799020,20928,1308,718547,12,748827,17,0,0,0,4208834855,89854
840436,23544,1308,709847,13,759036,19,0,0,0,4208837471,93598
878284,24852,1308,700296,14,798943,20,0,0,0,4208842703,101090
917600,26160,1308,739612,14,846306,21,0,0,0,4208845319,105141
960153,27468,1308,736908,15,846306,22,0,0,0,4208847935,108427
1998298,62784,1308,1080688,28,1079996,49,0,0,0,4208885867,51549
2039153,64092,1308,1121543,28,1080698,50,0,0,0,4208887175,50632
2078349,65400,1308,1118165,29,1121553,51,0,0,0,4208888483,49596
2078436,66708,1308,1118252,29,1118196,52,0,0,0,4208889791,48745
2120215,68016,1308,1121082,30,1118283,53,0,0,0,4208889791,48023
2160469,69324,1308,1119865,30,1121126,54,0,0,0,4208892407,47392
2160558,70632,1308,1082372,30,1119906,55,0,0,0,4208893715,46860
2200286,71940,1308,1081909,30,1082417,56,0,0,0,4208893715,46613
2238135,73248,1308,1080010,30,1081950,57,0,0,0,4208896331,46402
2238224,74556,1308,1039273,30,1080055,58,0,0,0,4208897639,46229
2279872,75864,1308,1039179,30,1039330,59,0,0,0,4208897639,46302
2319674,77172,1308,1041282,30,1039222,60,0,0,0,4208900255,46366
2319767,78480,1308,1001613,30,1041322,61,0,0,0,4208902871,47908
2360656,79788,1308,1002589,30,1001652,62,0,0,0,4208902871,48177
2399915,81096,1308,1000027,30,1002631,63,0,0,0,4208905487,48409
